triplet_id,corpus,food_pool,source_id,source_file_or_url,article_title,publication_date,publisher,snippet_id,chunk_index,subject,subject_type,predicate,object,object_type,confidence,confidence_band,evidence_span,normalized_subject,normalized_predicate,normalized_object
0cce209d9415c8583310,FSSAI baseline,FSSAI baseline,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,,,,src_pdf_001_chunk_0008,8,salt substitute,fkg:Food,fkg:hasIngredient,potassium salt,fkg:ChemicalIngredient,0.95,>=0.95,"salt substitute, composed entirely or partially of a potassium salt",salt substitute,hasingredient,potassium salt
453c17eb7a7cadfe36df,FSSAI baseline,FSSAI baseline,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,,,,src_pdf_001_chunk_0008,8,food,fkg:Food,fflo:hasObligation,DeclarePotassium,fflo:ObligationType,0.95,>=0.95,total amount of potassium... shall be declared,food,hasobligation,declarepotassium
280f5c2f4f43facd2e6c,FSSAI baseline,FSSAI baseline,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,,,,src_pdf_001_chunk_0008,8,food,fkg:Food,fflo:hasObligation,DeclareSaltEquivalent,fflo:ObligationType,0.95,>=0.95,salt equivalent in terms of sodium chloride (NaCl) content should also be declared,food,hasobligation,declaresaltequivalent
6408575162b50e4e6746,FSSAI baseline,FSSAI baseline,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,,,,src_pdf_001_chunk_0008,8,food,fkg:Food,fflo:hasObligation,DeclareStorageConditions,fflo:ObligationType,0.95,>=0.95,any special conditions for the storage of the food,food,hasobligation,declarestorageconditions
a0a43fb0774ebe904857,FSSAI baseline,FSSAI baseline,src_pdf_002,markdown/1_chapter_1_general.md,,,,src_pdf_002_chunk_0001,1,"Food Safety and Standards (Food Products Standards and Food Additives) Regulations, 2011",fflo:RegulatoryDocument,fflo:hasDefinition,"These regulations may be called the Food Safety and Standards (Food Products Standards and Food Additives) Regulations, 2011",xsd:string,0.95,>=0.95,"These regulations may be called the Food Safety and Standards (Food Products Standards and Food Additives) Regulations, 2011",food safety and standards food products standards and food additives regulations 2011,hasdefinition,these regulations may be called the food safety and standards food products standards and food additives regulations 2011
2151722071ab034c0b7f,FSSAI baseline,FSSAI baseline,src_pdf_002,markdown/1_chapter_1_general.md,,,,src_pdf_002_chunk_0001,1,"Food Safety and Standards (Food Products Standards and Food Additives) Regulations, 2011",fflo:RegulatoryDocument,fflo:hasDefinition,De-oiled meal means the residual material left over when oil is extracted,fkg:Food,0.95,>=0.95,De-oiled meal means the residual material left over when oil is extracted,food safety and standards food products standards and food additives regulations 2011,hasdefinition,de oiled meal means the residual material left over when oil is extracted
6151dc8043939d3b198a,FSSAI baseline,FSSAI baseline,src_pdf_002,markdown/1_chapter_1_general.md,,,,src_pdf_002_chunk_0001,1,Food Business Operator,fflo:FoodBusinessOperator,fflo:hasObligation,ComplianceWithStandards,fflo:ObligationType,0.95,>=0.95,Food Business Operator shall comply with the provisions of these regulations,food business operator,hasobligation,compliancewithstandards
a2b8375cb9ef5f039570,FSSAI baseline,FSSAI baseline,src_pdf_002,markdown/1_chapter_1_general.md,,,,src_pdf_002_chunk_0001,1,ComplianceWithStandards,fflo:FoodBusinessOperator,fflo:hasObligation,caramel and glazing agents,fflo:ObligationType,0.95,>=0.95,towards the standards relating to caramel and glazing agents,compliancewithstandards,hasobligation,caramel and glazing agents
aaf264bf46cc31f7b8a1,FSSAI baseline,FSSAI baseline,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,,,,src_pdf_001_chunk_0007,7,special dietary Food with low sodium content,fkg:Food,fflo:hasObligation,LabelDescriptionRequirement,fflo:ObligationType,0.95,>=0.95,"label shall bear the description ""low sodium"" or ""very low sodium""",special dietary food with low sodium content,hasobligation,labeldescriptionrequirement
97478879fa9a49c11baa,FSSAI baseline,FSSAI baseline,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,,,,src_pdf_001_chunk_0007,7,special dietary Food with low sodium content,fkg:Food,fflo:hasObligation,SodiumContentDeclaration,fflo:ObligationType,0.95,>=0.95,sodium content shall be declared on the label to the nearest multiple of 5 mg per 100 g,special dietary food with low sodium content,hasobligation,sodiumcontentdeclaration
