food,adulterant_or_substitute,effect,same_article_articles,same_snippet_articles,article_ids,inference_level
Milk,unknown adulterant,fflo acuteeffect,12,10,milk-057b6f5443e2a193; milk-27423346871c524b; milk-2c843f3ffd02eb29; milk-5e73ca2958918b91; milk-67999c7c56eab148; milk-78f07fed8b3a6320; milk-9eee27e256bcfffc; milk-bc6002431c13c793; milk-c3d400494092465e; milk-fb699c55039f32fc; oil-520e715a1ce8e456; oil-a58a10f7b588571d,same-article contextual hypothesis; causal edge is not explicit
Milk,ethylene glycol,fflo acuteeffect,9,8,276e27ef-82bd-4911-a4df-9d2448b232fb; milk-02f30a1fa97839ed; milk-1434754dc6446162; milk-16230efeb01fc650; milk-43933f3e3b746258; milk-599d96606aefc97d; milk-9e68848c71e1ff15; milk-a1870de942724dac; milk-f94bde7c99bce73d,same-article contextual hypothesis; causal edge is not explicit
Milk,urea,cancer/carcinogenicity,10,3,1fc04845-1f82-4efa-80fc-80e8feefa6ed; 8d8b9ba9-5da4-4861-89db-348400c8ef68; milk-2d4c6eb27aa0b942; milk-3f1ab04360b80cfd; milk-601312c7904467a2; milk-a1ae27d81f0013a5; milk-a710297f02e308b8; milk-bb864d8d03055611; milk-c238ac533ab8e0b9; milk-d5b2611e75b60517,same-article contextual hypothesis; causal edge is not explicit
Paneer,detergent,cancer/carcinogenicity,5,3,08675130-4804-4198-9157-40e7f9a9d248; milk-2d4c6eb27aa0b942; milk-3860e6654d518030; milk-601312c7904467a2; milk-74d1d6aaa4ade7cf,same-article contextual hypothesis; causal edge is not explicit
Milk,water,food poisoning,5,3,7984f772-8c6a-46cb-af36-a7df6ed37ecc; milk-74d1d6aaa4ade7cf; milk-d76c56c09e58067b; milk-fe1e3cc4f8fe0fc2; oil-e3fbe637ba51632f,same-article contextual hypothesis; causal edge is not explicit
Ghee,vanaspati,cancer/carcinogenicity,4,3,386b1c27-49a4-43e7-b4b1-3457f9466a37; b85e00e3-c751-478f-ace8-f6044e816d41; c8ddee14-df38-49aa-9d85-a7c6b34273a6; ea51c75b-4b85-48fb-bbb7-8fde23c110aa,same-article contextual hypothesis; causal edge is not explicit
Milk,detergent,food poisoning,4,3,milk-74d1d6aaa4ade7cf; milk-d76c56c09e58067b; milk-fe1e3cc4f8fe0fc2; oil-e3fbe637ba51632f,same-article contextual hypothesis; causal edge is not explicit
Ghee,animal fat,cancer/carcinogenicity,3,3,386b1c27-49a4-43e7-b4b1-3457f9466a37; 8d8b9ba9-5da4-4861-89db-348400c8ef68; milk-d5b2611e75b60517,same-article contextual hypothesis; causal edge is not explicit
Milk,detergent,cancer/carcinogenicity,9,2,1fc04845-1f82-4efa-80fc-80e8feefa6ed; 8d8b9ba9-5da4-4861-89db-348400c8ef68; milk-2d4c6eb27aa0b942; milk-3f1ab04360b80cfd; milk-601312c7904467a2; milk-74d1d6aaa4ade7cf; milk-a1ae27d81f0013a5; milk-c238ac533ab8e0b9; milk-d5b2611e75b60517,same-article contextual hypothesis; causal edge is not explicit
Milk,detergent,gastrointestinal illness,5,2,1fc04845-1f82-4efa-80fc-80e8feefa6ed; milk-3f1ab04360b80cfd; milk-8a55933f0d5da63a; milk-d76c56c09e58067b; oil-e3fbe637ba51632f,same-article contextual hypothesis; causal edge is not explicit
