corpus,food_pool,subject,predicate,object,triplet_rows,distinct_sources,mean_confidence,example_url,example_evidence
FSSAI baseline,FSSAI baseline,analysis,isperformedon,sample,2,2,0.95,markdown/fss_gazete_rules_2011.md,sample... has been analysed
FSSAI baseline,FSSAI baseline,IS 5887: Part 2,detectedby,Staphylococcus aureus,4,1,0.95,markdown/appendix_b_1.md,"Isolation, identification and enumeration of Staphylococcus aureus"
FSSAI baseline,FSSAI baseline,IS 5887: Part 2,detectedby,faecal streptococci,4,1,0.95,markdown/appendix_b_1.md,"Isolation, identification and enumeration of ... faecal streptococci"
FSSAI baseline,FSSAI baseline,IS 5887 (Part 8/Sec 1),detectedby,Staphylococcus aureus,4,1,0.95,markdown/appendix_b_1.md,Enumeration of Coagulase-Positive Staphylococci/ (Staphylococcus aureus
FSSAI baseline,FSSAI baseline,IS 5887 (Part 8/Sec 2),detectedby,Staphylococcus aureus,4,1,0.95,markdown/appendix_b_1.md,Enumeration of Coagulase-Positive Staphylococci/ (Staphylococcus aureus
FSSAI baseline,FSSAI baseline,AlternativeAnalyticalMethodUse,requireskit,In-house testing,3,1,0.95,markdown/appendix_b_1.md,for in-house testing only
FSSAI baseline,FSSAI baseline,ISO 21528-2,detectedby,Enterobacteriaceae,3,1,0.95,markdown/appendix_b_1.md,Horizontal methods for the detection and enumeration of Enterobacteriaceae- Part 2:Colony- count method-ISO 21528-2
FSSAI baseline,FSSAI baseline,IS 5887: Part 3,detectedby,Salmonella,3,1,0.95,markdown/appendix_b_1.md,Methods for the Detection of Salmonella- IS 5887: Part 3
FSSAI baseline,FSSAI baseline,ISO 11290-1,detectedby,Listeria spp.,3,1,0.95,markdown/appendix_b_1.md,detection and enumeration of... other Listeria spp. - Part 1... ISO 11290-1
FSSAI baseline,FSSAI baseline,testing,isperformedas,reference test methods,2,1,0.95,markdown/appendix_b_1.md,testing in laboratory shall be ensured as per reference test methods
FSSAI baseline,FSSAI baseline,IS 5402/ ISO:4833,identifies,Aerobic Plate Count,2,1,0.95,markdown/appendix_b_1.md,Aerobic Plate Count Colony count at 30 degrees C by the pour plate technique- IS 5402/ ISO:4833
FSSAI baseline,FSSAI baseline,IS 5887: Part 3,identifies,Salmonella,2,1,0.95,markdown/appendix_b_1.md,Detection of Salmonella
FSSAI baseline,FSSAI baseline,sample units,isperformedat,notified laboratory,2,1,0.95,markdown/appendix_b_1.md,submitted to the notified laboratory
FSSAI baseline,FSSAI baseline,ISO 11290-1,detectedby,Listeria monocytogenes,2,1,0.95,markdown/appendix_b_1.md,detection and enumeration of Listeria monocytogenes... ISO 11290-1
FSSAI baseline,FSSAI baseline,sample units,isperformedat,notified laboratories,2,1,0.95,markdown/appendix_b_1.md,submitted to the notified laboratories
FSSAI baseline,FSSAI baseline,Salmonella,detectedby,IS 5887: Part 3,2,1,0.95,markdown/appendix_b_1.md,Salmonella ... IS 5887: Part 3
FSSAI baseline,FSSAI baseline,Salmonella,detectedby,ISO 6579,2,1,0.95,markdown/appendix_b_1.md,Salmonella ... ISO 6579
FSSAI baseline,FSSAI baseline,Listeria monocytogenes,detectedby,ISO 11290-1,2,1,0.95,markdown/appendix_b_1.md,Listeria monocytogenes ... ISO 11290-1
FSSAI baseline,FSSAI baseline,Listeria monocytogenes,detectedby,IS 14988-1,2,1,0.95,markdown/appendix_b_1.md,Listeria Monocytogenes ... IS 14988-1
FSSAI baseline,FSSAI baseline,ISO:6579,detectedby,Salmonella,2,1,0.95,markdown/appendix_b_1.md,Method of IS: 5887 Part 3/ISO:6579
FSSAI baseline,FSSAI baseline,Cocoa mass,outputof,mechanical disintegration,1,1,0.95,markdown/appendix_a_4.md,Cocoa mass is obtained from the mechanical disintegration of the nib
FSSAI baseline,FSSAI baseline,Cocoa powder,outputof,pressing,1,1,0.95,markdown/appendix_a_4.md,Cocoa powder is produced by reducing the fat content of cocoa mass or liquor by pressing
FSSAI baseline,FSSAI baseline,molding,outputof,Cocoa powder,1,1,0.95,markdown/appendix_a_4.md,and molding into cocoa press cake
FSSAI baseline,FSSAI baseline,disintegrated and ground,outputof,Cocoa powder,1,1,0.95,markdown/appendix_a_4.md,The cocoa press cake is disintegrated and ground to cocoa powder
FSSAI baseline,FSSAI baseline,sample,isperformedat,notified laboratory,1,1,0.95,markdown/appendix_b_1.md,submitted to the notified laboratory
FSSAI baseline,FSSAI baseline,Enterobacteriaceae,isperformedas,ISO 21528-1,1,1,0.95,markdown/appendix_b_1.md,Method of analysis is ISO 21528-1
FSSAI baseline,FSSAI baseline,Enterobacteriaceae,isperformedas,ISO 21528-2,1,1,0.95,markdown/appendix_b_1.md,"and 21528-2, as appropriate"
FSSAI baseline,FSSAI baseline,IS 5402/ ISO:4833,producesindicator,Colony count at 30 degrees C,1,1,0.95,markdown/appendix_b_1.md,Colony count at 30 degrees C by the pour plate technique- IS 5402/ ISO:4833
FSSAI baseline,FSSAI baseline,IS: 5401 Part 1,detectedby,Coliforms,1,1,0.95,markdown/appendix_b_1.md,Detection and Enumeration of Coliforms – Part-1 Colony-Count Technique- IS: 5401 Part 1
FSSAI baseline,FSSAI baseline,ISO 4832,detectedby,Coliforms,1,1,0.95,markdown/appendix_b_1.md,enumeration of Coliforms - Colony-count technique- ISO 4832
FSSAI baseline,FSSAI baseline,ISO 21528,detectedby,Enterobacteriaceae,1,1,0.95,markdown/appendix_b_1.md,detection and enumeration of Enterobacteriaceae -- Part 1: Detection and enumeration by
FSSAI baseline,FSSAI baseline,AlternativeAnalyticalMethods,isperformedas,InHouseTesting,1,1,0.95,markdown/appendix_b_1.md,methods other than those described in reference test methods given below for in-house testing only
