food,adulterant_or_substitute,effect,chain_class,food_adulterant_news_articles,adulterant_effect_news_articles,same_article_direct_chain_articles,same_snippet_direct_chain_articles,same_article_context_articles,fssai_food_adulterant_rows,fssai_adulterant_effect_rows,mean_food_adulterant_confidence,mean_adulterant_effect_confidence,conservative_chain_confidence,chain_support_score,example_article_id,example_article_url,example_food_adulterant_evidence,example_adulterant_effect_evidence,interpretation
Milk,ethylene glycol,renal failure,directly joined in the same article,34,24,23,20,1,0,0,0.9315,0.9177,0.9177,4.2711,276e27ef-82bd-4911-a4df-9d2448b232fb,https://timesofindia.indiatimes.com/city/delhi/whats-cooking-in-pantry-bite-into-adulterated-truth/articleshow/130488415.cms,milk contaminated with ethylene glycol,acute renal failure after consuming milk contaminated with ethylene glycol,reported or repository-inferred association; not epidemiological proof of causation
Milk,ethylene glycol,multi-organ failure,directly joined in the same article,34,10,10,10,1,0,0,0.9315,0.9409,0.9315,3.8885,276e27ef-82bd-4911-a4df-9d2448b232fb,https://timesofindia.indiatimes.com/city/delhi/whats-cooking-in-pantry-bite-into-adulterated-truth/articleshow/130488415.cms,milk contaminated with ethylene glycol,died of multi-organ failure triggered by acute renal failure,reported or repository-inferred association; not epidemiological proof of causation
Milk,ethylene glycol,anuria,directly joined in the same article,34,10,10,9,0,0,0,0.9315,0.885,0.885,3.6943,milk-02f30a1fa97839ed,https://www.thenewsminute.com/andhra-pradesh/death-toll-due-to-adulterated-milk-in-andhra-pradesh-rises-to-12,milk adulterated with Ethylene Glycol,milk adulterated with Ethylene Glycol,reported or repository-inferred association; not epidemiological proof of causation
Milk,unknown adulterant,renal failure,directly joined in the same article,33,10,9,7,3,0,0,0.8397,0.865,0.8397,3.4656,milk-8298784b4cbbb469,https://www.deccanchronicle.com/southern-states/andhra-pradesh/death-toll-rises-to-12-in-rajamahendravaram-milk-adulteration-incident-1943119,consumption of adulterated milk,treatment for acute renal failure,reported or repository-inferred association; not epidemiological proof of causation
Milk,unknown adulterant,anuria,directly joined in the same article,33,8,7,6,2,0,0,0.8397,0.8438,0.8397,3.3801,milk-8298784b4cbbb469,https://www.deccanchronicle.com/southern-states/andhra-pradesh/death-toll-rises-to-12-in-rajamahendravaram-milk-adulteration-incident-1943119,consumption of adulterated milk,symptoms such as anuria,reported or repository-inferred association; not epidemiological proof of causation
Milk,ethylene glycol,vomiting,directly joined in the same article,34,6,6,5,1,0,0,0.9315,0.8875,0.8875,3.5236,milk-f27a9200b8298367,https://www.news18.com/cities/hyderabad-news/sweet-death-why-ethylene-glycol-an-antifreeze-chemical-is-lurking-in-andhras-milk-ws-l-9991605.html,confirmed the presence of a toxic substance — ethylene glycol — in the milk,"Early symptoms that occur within hours are nausea, vomiting, abdominal pain, and dizziness.",reported or repository-inferred association; not epidemiological proof of causation
Milk,ethylene glycol,death,directly joined in the same article,34,5,5,5,0,0,0,0.9315,0.8583,0.8583,3.3578,milk-707fe9b35c3112e1,https://timesofindia.indiatimes.com/life-style/food-news/15-die-after-drinking-milk-contaminated-with-ethylene-glycol-how-to-do-milk-purity-test-and-5-other-calcium-rich-foods-to-consume/photostory/129640071.cms,"mixed ethylene glycol, an industrial coolant, into milk","allegedly mixed ethylene glycol, an industrial coolant, into milk supplied to over a hundred families, resulting in a total of 15 deaths to date.",reported or repository-inferred association; not epidemiological proof of causation
Milk,ethylene glycol,urinary obstruction,directly joined in the same article,34,4,4,4,0,0,0,0.9315,0.9,0.9,3.4651,milk-24940830b0628e79,https://www.thehindubusinessline.com/news/national/andhra-pradesh-milk-contamination-tragedy-14-dead-after-consuming-toxic-milk/article70738522.ece,milk contaminated with ethylene glycol,"caused severe health complications among consumers, including urinary obstruction",reported or repository-inferred association; not epidemiological proof of causation
Milk,ethylene glycol,gastrointestinal illness,directly joined in the same article,34,3,3,2,0,0,0,0.9315,0.9167,0.9167,3.4688,milk-f27a9200b8298367,https://www.news18.com/cities/hyderabad-news/sweet-death-why-ethylene-glycol-an-antifreeze-chemical-is-lurking-in-andhras-milk-ws-l-9991605.html,confirmed the presence of a toxic substance — ethylene glycol — in the milk,"Early symptoms that occur within hours are nausea, vomiting, abdominal pain, and dizziness.",reported or repository-inferred association; not epidemiological proof of causation
Milk,unknown adulterant,gastrointestinal illness,directly joined in the same article,33,3,3,3,0,0,0,0.8397,0.8833,0.8397,3.1583,milk-f87ad907347c5ac8,https://uttarbangasambad.com/adulterated-milk-deaths-andhra-pradesh-adulterated-milk-tragedy-13-dead-east-godavari/,ভেজাল দুধ (Adulterated Milk Deaths) পান করে অন্তত ১৩ জনের মৃত্যু হয়েছে,তীব্র পেটে ব্যথা,reported or repository-inferred association; not epidemiological proof of causation
