candidate,Edible/cooking oil,Ghee,Khoya/mawa,Milk,Mustard oil,Paneer,Tirupati laddu,honey,sweets
animal fat,1,102,0,2,0,0,15,0,0
beef tallow,0,24,0,0,0,0,3,0,0
detergent,0,1,4,35,0,9,0,0,1
ethylene glycol,0,0,0,34,0,0,0,0,0
lard/pig fat,0,27,0,0,0,0,1,0,0
palm oil family,1,100,4,12,4,14,5,0,0
pesticide residue,1,0,0,4,0,0,0,0,0
refined oil,0,9,3,9,0,5,0,0,0
starch,0,11,15,28,0,20,0,0,0
urea,0,3,1,42,0,6,0,0,0
vanaspati,0,32,1,2,0,0,0,0,0
vegetable oil/fat,0,73,2,10,0,9,2,0,0
water,0,3,0,26,0,6,0,1,0
