food,candidate,food_candidate,distinct_articles,mean_confidence
Ghee,animal fat,Ghee -> animal fat,102,0.8823741007194245
ginger garlic paste,spoiled ginger,ginger garlic paste -> spoiled ginger,3,0.8833333333333333
ginger garlic paste,spoiled garlic,ginger garlic paste -> spoiled garlic,3,0.8833333333333333
Ghee,vanaspati,Ghee -> vanaspati,32,0.9060975609756098
Ghee,starch,Ghee -> starch,11,0.8708333333333333
Ghee,cheap refined oil,Ghee -> cheap refined oil,2,0.925
Ghee,palm oil family,Ghee -> palm oil family,100,0.9116847826086957
Ghee,beta carotene,Ghee -> beta carotene,15,0.89375
Ghee,acetic acid ester,Ghee -> acetic acid ester,19,0.9045454545454545
Ghee,ghee flavour,Ghee -> ghee flavour,4,0.9
Tirupati laddu,ghee,Tirupati laddu -> ghee,5,0.8099999999999999
dried kiwi slices,synthetic dyes,dried kiwi slices -> synthetic dyes,2,0.825
confectionery items,synthetic dyes,confectionery items -> synthetic dyes,2,0.85
Milk,starch,Milk -> starch,28,0.9316666666666666
Ghee,foreign fat,Ghee -> foreign fat,3,0.8333333333333334
Milk,foreign fat,Milk -> foreign fat,2,0.9
Ghee,trans fatty acids,Ghee -> trans fatty acids,2,0.9
Ghee,beef tallow,Ghee -> beef tallow,24,0.861111111111111
Ghee,lard/pig fat,Ghee -> lard/pig fat,27,0.8838709677419355
Ghee,palm kernel fat,Ghee -> palm kernel fat,2,0.875
Ghee,fish oil,Ghee -> fish oil,19,0.8875
Paneer,unidentified liquid substances,Paneer -> unidentified liquid substances,2,0.85
Paneer,starch,Paneer -> starch,20,0.905
Paneer,detergent,Paneer -> detergent,9,0.905
Paneer,urea,Paneer -> urea,6,0.9142857142857143
Milk,vegetable oil/fat,Milk -> vegetable oil/fat,10,0.8923076923076922
Milk,palm oil family,Milk -> palm oil family,12,0.88125
Tirupati laddu,vegetable oil/fat,Tirupati laddu -> vegetable oil/fat,2,0.8999999999999999
Tirupati laddu,laboratory esters,Tirupati laddu -> laboratory esters,2,0.95
Ghee,acetic acid esters,Ghee -> acetic acid esters,3,0.9249999999999999
Ghee,vegetable oil/fat,Ghee -> vegetable oil/fat,73,0.9041935483870968
Ghee,hydrogenated fats,Ghee -> hydrogenated fats,5,0.91
Ghee,animal body fats,Ghee -> animal body fats,2,0.95
Ghee,starchy substances,Ghee -> starchy substances,2,0.95
Ghee,tallow,Ghee -> tallow,3,0.9
Ghee,β sitosterol,Ghee -> β sitosterol,5,0.9
Tirupati laddu,animal fat,Tirupati laddu -> animal fat,15,0.8394736842105263
Ghee,acetic acid,Ghee -> acetic acid,5,0.89
Ghee,mono glycerides,Ghee -> mono glycerides,3,0.8833333333333333
Ghee,artificial ghee essence,Ghee -> artificial ghee essence,2,0.925
Ghee,adulterant in ghee,Ghee -> adulterant in ghee,3,0.8666666666666667
Ghee,soybean,Ghee -> soybean,3,0.88
Ghee,sunflower oil,Ghee -> sunflower oil,4,0.875
Ghee,refined oil,Ghee -> refined oil,9,0.9199999999999999
Ghee,refined soybean oil,Ghee -> refined soybean oil,3,0.9333333333333333
Ghee,fake ghee,Ghee -> fake ghee,9,0.8818181818181818
