food,adulterant_or_substitute,effect,chain_class,food_adulterant_news_articles,adulterant_effect_news_articles,same_article_direct_chain_articles,same_snippet_direct_chain_articles,same_article_context_articles,fssai_food_adulterant_rows,fssai_adulterant_effect_rows,mean_food_adulterant_confidence,mean_adulterant_effect_confidence,conservative_chain_confidence,chain_support_score,example_article_id,example_article_url,example_food_adulterant_evidence,example_adulterant_effect_evidence,interpretation,chain
Milk,ethylene glycol,nausea,directly joined in the same article,34,2,2,0,0,0,0,0.9315,0.9167,0.9167,3.4041,milk-f27a9200b8298367,https://www.news18.com/cities/hyderabad-news/sweet-death-why-ethylene-glycol-an-antifreeze-chemical-is-lurking-in-andhras-milk-ws-l-9991605.html,confirmed the presence of a toxic substance — ethylene glycol — in the milk,Early symptoms that occur within hours are nausea,reported or repository-inferred association; not epidemiological proof of causation,Milk -> ethylene glycol -> nausea
Milk,ethylene glycol,dizziness,directly joined in the same article,34,2,2,0,0,0,0,0.9315,0.925,0.925,3.4351,milk-f27a9200b8298367,https://www.news18.com/cities/hyderabad-news/sweet-death-why-ethylene-glycol-an-antifreeze-chemical-is-lurking-in-andhras-milk-ws-l-9991605.html,confirmed the presence of a toxic substance — ethylene glycol — in the milk,"Early symptoms that occur within hours are nausea, vomiting, abdominal pain, and dizziness",reported or repository-inferred association; not epidemiological proof of causation,Milk -> ethylene glycol -> dizziness
Milk,urea,renal failure,directly joined in the same article,42,2,2,2,1,0,0,0.9286,0.875,0.875,3.4053,milk-fa44bcc5515bda60,https://www.thehindu.com/news/national/andhra-pradesh/hazardous-chemicals-found-in-milk-during-raids-across-east-godavari/article70823682.ece,one sample contained urea,Consumption of milk adulterated with urea involves risks including damage to the digestive system and renal failure,reported or repository-inferred association; not epidemiological proof of causation,Milk -> urea -> renal failure
Milk,unknown contaminant,renal failure,directly joined in the same article,4,3,3,3,1,0,0,0.825,0.8833,0.825,2.1772,7d796579-8acb-4851-a31f-526034bb0b78,https://www.thehansindia.com/hans/opinion/news-analysis/adulterated-milk-spells-death-can-no-longer-be-ignored-1055769,consumed adulterated milk supplied by a single vendor,Nine people died of acute renal failure,reported or repository-inferred association; not epidemiological proof of causation,Milk -> unknown contaminant -> renal failure
everest fish curry masala,ethylene oxide,cancer/carcinogenicity,directly joined in the same article,3,7,3,2,0,0,0,0.95,0.8885,0.8885,2.5172,milk-a7671d0c28676937,https://timesofindia.indiatimes.com/india/indian-spices-not-banned-in-singapore-and-hong-kong-govt/articleshow/112334804.cms,recalled 'Everest' fish curry masala due to the presence of ethylene oxide,"ethylene oxide, a pesticide classified as a carcinogen",reported or repository-inferred association; not epidemiological proof of causation,everest fish curry masala -> ethylene oxide -> cancer/carcinogenicity
Milk,formalin/formaldehyde,cancer/carcinogenicity,directly joined in the same article,6,4,3,2,1,0,0,0.9417,0.9,0.9,2.5499,milk-2d4c6eb27aa0b942,https://nagalandpost.com/unsafe-at-every-bite-indias-silent-food-safety-epidemic/,Common adulterants found in milk and milk-based products... include... formalin,"Formalin, recognised for its cancer-causing properties",reported or repository-inferred association; not epidemiological proof of causation,Milk -> formalin/formaldehyde -> cancer/carcinogenicity
fruits,pesticide residue,cancer/carcinogenicity,directly joined in the same article,6,6,3,1,3,0,0,0.9,0.8812,0.8812,2.5948,milk-b993f201bb670e21,https://www.thehansindia.com/editors-desk/india-needs-to-grow-safe-food-curb-adulteration-879087,"Pesticide residues can be found in significant amounts in many foods, including fruits","Such residues, when consumed regularly, are found to cause serious health risks, including ... cancer",reported or repository-inferred association; not epidemiological proof of causation,fruits -> pesticide residue -> cancer/carcinogenicity
Milk,poison,death,directly joined in the same article,11,5,3,2,0,0,0,0.9192,0.86,0.86,2.6965,milk-0aaa3a5a5169112a,https://www.tribuneindia.com/news/jalandhar/poisoned-by-parents-villagers-perform-last-rites-of-3-minor-girls-550530,They offered poison-laced milk to their daughters,"Three girls, who were poisoned to death by their parents",reported or repository-inferred association; not epidemiological proof of causation,Milk -> poison -> death
Milk,unknown adulterant,gastrointestinal illness,directly joined in the same article,33,3,3,3,0,0,0,0.8397,0.8833,0.8397,3.1583,milk-f87ad907347c5ac8,https://uttarbangasambad.com/adulterated-milk-deaths-andhra-pradesh-adulterated-milk-tragedy-13-dead-east-godavari/,ভেজাল দুধ (Adulterated Milk Deaths) পান করে অন্তত ১৩ জনের মৃত্যু হয়েছে,তীব্র পেটে ব্যথা,reported or repository-inferred association; not epidemiological proof of causation,Milk -> unknown adulterant -> gastrointestinal illness
Milk,ethylene glycol,gastrointestinal illness,directly joined in the same article,34,3,3,2,0,0,0,0.9315,0.9167,0.9167,3.4688,milk-f27a9200b8298367,https://www.news18.com/cities/hyderabad-news/sweet-death-why-ethylene-glycol-an-antifreeze-chemical-is-lurking-in-andhras-milk-ws-l-9991605.html,confirmed the presence of a toxic substance — ethylene glycol — in the milk,"Early symptoms that occur within hours are nausea, vomiting, abdominal pain, and dizziness.",reported or repository-inferred association; not epidemiological proof of causation,Milk -> ethylene glycol -> gastrointestinal illness
Milk,ethylene glycol,urinary obstruction,directly joined in the same article,34,4,4,4,0,0,0,0.9315,0.9,0.9,3.4651,milk-24940830b0628e79,https://www.thehindubusinessline.com/news/national/andhra-pradesh-milk-contamination-tragedy-14-dead-after-consuming-toxic-milk/article70738522.ece,milk contaminated with ethylene glycol,"caused severe health complications among consumers, including urinary obstruction",reported or repository-inferred association; not epidemiological proof of causation,Milk -> ethylene glycol -> urinary obstruction
