food,observed_effect,candidate_adulterant,articles_with_food_effect_context,articles_also_naming_candidate,observed_article_share_pct,laplace_smoothed_presence_pct,mean_candidate_confidence,interpretation
Milk,renal failure,adulterant,41,1,2.44,4.65,0.75,"hypothesis-ranking association, not a calibrated causal probability"
Milk,renal failure,pesticide residue,41,1,2.44,4.65,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Milk,renal failure,hydrogen peroxide,41,1,2.44,4.65,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,renal failure,formalin/formaldehyde,41,1,2.44,4.65,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,renal failure,starch,41,1,2.44,4.65,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,renal failure,heavy metals,41,1,2.44,4.65,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Milk,renal failure,glucose,41,1,2.44,4.65,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,renal failure,water,41,1,2.44,4.65,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,renal failure,unspecified adulterant,41,2,4.88,6.98,0.8,"hypothesis-ranking association, not a calibrated causal probability"
Milk,renal failure,urea,41,3,7.32,9.3,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,renal failure,unknown contaminant,41,3,7.32,9.3,0.8167,"hypothesis-ranking association, not a calibrated causal probability"
Milk,renal failure,detergent,41,3,7.32,9.3,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,renal failure,unknown adulterant,41,11,26.83,27.91,0.8636,"hypothesis-ranking association, not a calibrated causal probability"
Milk,renal failure,ethylene glycol,41,23,56.1,55.81,0.9413,"hypothesis-ranking association, not a calibrated causal probability"
