adulterant_or_substitute,Edible/cooking oil,Ghee,Khoya/mawa,Milk,Mustard oil,Paneer,Tirupati laddu,ginger garlic paste,honey,sweets
adulterated ghee,0.0,61.53846153846154,0.0,0.0,0.0,0.0,34.61538461538461,0.0,0.0,3.8461538461538463
animal fat,0.8333333333333334,85.0,0.0,1.6666666666666667,0.0,0.0,12.5,0.0,0.0,0.0
beef tallow,0.0,88.88888888888889,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0
chemicals,0.0,76.74418604651163,0.0,6.976744186046512,2.3255813953488373,6.976744186046512,4.651162790697675,2.3255813953488373,0.0,0.0
detergent,0.0,2.0,8.0,70.0,0.0,18.0,0.0,0.0,0.0,2.0
ethylene glycol,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
palm oil family,0.7142857142857143,71.42857142857143,2.857142857142857,8.571428571428571,2.857142857142857,10.0,3.571428571428571,0.0,0.0,0.0
starch,0.0,14.864864864864865,20.27027027027027,37.83783783783784,0.0,27.027027027027028,0.0,0.0,0.0,0.0
unknown adulterant,0.0,24.528301886792452,5.660377358490567,62.264150943396224,0.0,7.547169811320755,0.0,0.0,0.0,0.0
unspecified adulterant,5.0,58.333333333333336,3.3333333333333335,20.0,1.6666666666666667,11.666666666666666,0.0,0.0,0.0,0.0
urea,0.0,5.769230769230769,1.9230769230769231,80.76923076923077,0.0,11.538461538461538,0.0,0.0,0.0,0.0
vanaspati,0.0,91.42857142857143,2.857142857142857,5.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
vegetable oil/fat,0.0,76.04166666666666,2.083333333333333,10.416666666666668,0.0,9.375,2.083333333333333,0.0,0.0,0.0
water,0.0,8.333333333333332,0.0,72.22222222222221,0.0,16.666666666666664,0.0,0.0,2.7777777777777777,0.0
