publication_year,adulterant_or_substitute,distinct_articles
2018,palm oil family,1
2021,palm oil family,5
2021,unspecified adulterant,2
2021,vegetable oil/fat,1
2022,animal fat,1
2022,detergent,1
2022,palm oil family,18
2022,starch,2
2022,unspecified adulterant,7
2022,vegetable oil/fat,8
2023,animal fat,2
2023,detergent,7
2023,palm oil family,8
2023,starch,10
2023,unspecified adulterant,5
2023,vegetable oil/fat,4
2024,animal fat,67
2024,detergent,2
2024,palm oil family,30
2024,starch,3
2024,unspecified adulterant,14
2024,vegetable oil/fat,31
2025,animal fat,37
2025,detergent,23
2025,palm oil family,64
2025,starch,33
2025,unspecified adulterant,15
2025,vegetable oil/fat,28
2026,animal fat,34
2026,detergent,23
2026,palm oil family,50
2026,starch,37
2026,unspecified adulterant,25
2026,vegetable oil/fat,33
