food_pool,minimum_confidence,triplet_rows,distinct_articles,share_of_pool_rows_pct
Oil,0.0,3260,519,100.0
Oil,0.7,3256,518,99.88
Oil,0.8,3154,515,96.75
Oil,0.9,1956,465,60.0
Oil,0.95,706,287,21.66
Ghee,0.0,6907,933,100.0
Ghee,0.7,6895,933,99.83
Ghee,0.8,6650,921,96.28
Ghee,0.9,4290,821,62.11
Ghee,0.95,1613,574,23.35
Milk,0.0,4787,518,100.0
Milk,0.7,4773,518,99.71
Milk,0.8,4614,515,96.39
Milk,0.9,3123,477,65.24
Milk,0.95,1297,333,27.09
All news,0.0,14954,1970,100.0
All news,0.7,14924,1969,99.8
All news,0.8,14418,1951,96.42
All news,0.9,9369,1763,62.65
All news,0.95,3616,1194,24.18
