edge_id,corpus,food_pool,source_id,snippet_id,source_file_or_url,food,food_surface,adulterant,adulterant_surface,relation,confidence,evidence_span,specific_candidate
48be82f3930a2a14af03,FSSAI baseline,FSSAI baseline,src_pdf_009,src_pdf_009_chunk_0010,markdown/chapter_2_1_dairy_products_and_analogues.md,Milk,milk constituent,constituent not derived from milk,constituent not derived from milk,issubstitutefor,0.95,takes place of a milk constituent,True
48be82f3930a2a14af03,FSSAI baseline,FSSAI baseline,src_pdf_009,src_pdf_009_chunk_0010,markdown/chapter_2_1_dairy_products_and_analogues.md,Milk,milk constituent,constituent not derived from milk,constituent not derived from milk,issubstitutefor,0.95,place is fully taken over by a constituent not derived from milk,True
6718885f43753710b273,FSSAI baseline,FSSAI baseline,src_pdf_009,src_pdf_009_chunk_0009,markdown/chapter_2_1_dairy_products_and_analogues.md,Milk,milk,constituents not derived from milk,constituents not derived from milk,issubstitutefor,0.9,constituents not derived from milk are not intended to take the place,True
baf9be32acf1711e530d,FSSAI baseline,FSSAI baseline,src_pdf_009,src_pdf_009_chunk_0009,markdown/chapter_2_1_dairy_products_and_analogues.md,Milk,milk,final product,final product,issubstitutefor,0.9,if the final product is intended to substitute milk,True
64859464ad8f0d6cdbc8,FSSAI baseline,FSSAI baseline,src_pdf_009,src_pdf_009_chunk_0009,markdown/chapter_2_1_dairy_products_and_analogues.md,Milk,milk product,final product,final product,issubstitutefor,0.9,"if the final product is intended to substitute milk, a milk product",True
cf265bf541a59b915acb,FSSAI baseline,FSSAI baseline,src_pdf_009,src_pdf_009_chunk_0009,markdown/chapter_2_1_dairy_products_and_analogues.md,Milk,composite milk product,final product,final product,issubstitutefor,0.9,if the final product is intended to substitute ... composite milk product,True
22558ea7e8e96d0573e0,FSSAI baseline,FSSAI baseline,src_pdf_009,src_pdf_009_chunk_0088,markdown/chapter_2_1_dairy_products_and_analogues.md,Milk,milk,edible lactose,Edible Lactose,issubstitutefor,0.9,disaccharide sugar found in milk,True
7b9dcae93d45891fb70c,FSSAI baseline,FSSAI baseline,src_pdf_005,src_pdf_005_chunk_0038,markdown/appendix_a_4.md,chocolate,chocolate,carob chips,carob chips,issubstitutefor,0.95,chocolate-like products ... such as carob chips,True
f1209bc4f5e01d657b67,FSSAI baseline,FSSAI baseline,src_pdf_005,src_pdf_005_chunk_0038,markdown/appendix_a_4.md,chocolate,chocolate,cocoa based products,cocoa-based products,issubstitutefor,0.95,cocoa-based products ... excluded from the scope of the Standard for Chocolate,True
501376712e36b95c1b51,FSSAI baseline,FSSAI baseline,src_pdf_008,src_pdf_008_chunk_0004,markdown/chapter_2_10_beverages_other_than_dairy_and_fruits_vegetables_based.md,green tea,Green Tea,moulds,moulds,hasadulterant,0.95,free from... moulds,True
0b157e1f18254ac7cb10,FSSAI baseline,FSSAI baseline,src_pdf_008,src_pdf_008_chunk_0004,markdown/chapter_2_10_beverages_other_than_dairy_and_fruits_vegetables_based.md,green tea,Green Tea,insect fragments,insect fragments,hasadulterant,0.95,free from... insect fragments,True
27abc1ade5df5cc1c4f6,FSSAI baseline,FSSAI baseline,src_pdf_008,src_pdf_008_chunk_0004,markdown/chapter_2_10_beverages_other_than_dairy_and_fruits_vegetables_based.md,green tea,Green Tea,extraneous matter,extraneous matter,hasadulterant,0.95,free from extraneous matter,True
c1fa1dfbba808149ddfe,FSSAI baseline,FSSAI baseline,src_pdf_009,src_pdf_009_chunk_0032,markdown/chapter_2_1_dairy_products_and_analogues.md,raw material,raw material,added flavour,added flavour,hasadulterant,0.95,free from added flavour,True
71f4eb250f51ec95329f,FSSAI baseline,FSSAI baseline,src_pdf_011,src_pdf_011_chunk_0066,markdown/chapter_2_3_fruit_vegetable_products.md,the product,The product,food additives,food additives,hasadulterant,0.7,The product may contain food additives,True
