corpus,food,adulterant_or_substitute,specific_candidate,triplet_rows,distinct_sources,mean_confidence,median_confidence,minimum_confidence,maximum_confidence,confidence_weighted_source_support,rows_confidence_ge_0_80,rows_confidence_ge_0_90,surface_forms,example_source_id,example_url,example_evidence
FSSAI baseline,Butter,vegetable oil/fat,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,vegetable fat (1),src_pdf_015,markdown/chapter_2_7_sweets_and_confectionary.md,vegetable fat... may be used... as cocoa butter equivalent
FSSAI baseline,Coconut oil,argemone oil,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,argemone oil (1),src_pdf_010,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,Test for argemone oil shall be negative
FSSAI baseline,Coconut oil,flavouring substances,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,flavouring substances (1),src_pdf_010,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,free from ... flavouring substances
FSSAI baseline,Coconut oil,mineral oil,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,mineral oil (1),src_pdf_010,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,free from ... mineral oil
FSSAI baseline,Edible/cooking oil,chemical agent,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,chemical agent (1),src_pdf_010,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,No other chemical agent shall be used
FSSAI baseline,Edible/cooking oil,harmful colouring,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,harmful colouring (1),src_pdf_019,markdown/comp_prohibition_and_restrcition_of_sales_xi_01042025.md,No vegetable oil shall contain any harmful colouring
FSSAI baseline,Edible/cooking oil,matter deleterious to health,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,matter deleterious to health (1),src_pdf_019,markdown/comp_prohibition_and_restrcition_of_sales_xi_01042025.md,No vegetable oil shall contain any... matter deleterious to health
FSSAI baseline,Edible/cooking oil,rancidity,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,rancidity (1),src_pdf_010,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,free from rancidity
FSSAI baseline,Milk,constituent not derived from milk,True,2,1,0.95,0.95,0.95,0.95,0.95,2,2,constituent not derived from milk (2),src_pdf_009,markdown/chapter_2_1_dairy_products_and_analogues.md,takes place of a milk constituent
FSSAI baseline,Milk,curd,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,Curd (1),src_pdf_009,markdown/chapter_2_1_dairy_products_and_analogues.md,name 'Fermented Milk' may be replaced with designations ... Curd
FSSAI baseline,Milk,dahi,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,Dahi (1),src_pdf_009,markdown/chapter_2_1_dairy_products_and_analogues.md,name 'Fermented Milk' may be replaced with designations Dahi
FSSAI baseline,Milk,non dairy based beverage whitener,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,Non-Dairy based beverage whitener (1),src_pdf_005,markdown/appendix_a_4.md,Milk or cream substitute
FSSAI baseline,Milk,yoghurt,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,Yoghurt (1),src_pdf_009,markdown/chapter_2_1_dairy_products_and_analogues.md,name 'Fermented Milk' may be replaced with designations ... Yoghurt
FSSAI baseline,Sesame oil,argemone oil,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,Argemone oil (1),src_pdf_010,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,Test for argemone oil shall be negative
FSSAI baseline,Sesame oil,hexane,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,Hexane (1),src_pdf_010,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,oil obtained by expelled pressed method shall be free from hexane residues
FSSAI baseline,almond oil,argemone oil,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,argemone oil (1),src_pdf_010,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,Test for argemone oil shall be negative
FSSAI baseline,almond oil,mineral oil,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,mineral oil (1),src_pdf_010,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,or mineral oil
FSSAI baseline,aniseed saunf whole,living and dead insects,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,living and dead insects (1),src_pdf_017,markdown/chapter_2_9_salt_spices_condiments_and_related_products.md,free from ... living and dead insects
FSSAI baseline,aniseed saunf whole,mould,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,mould (1),src_pdf_017,markdown/chapter_2_9_salt_spices_condiments_and_related_products.md,free from mould
FSSAI baseline,arecanuts,insect infestation,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,insect infestation (1),src_pdf_011,markdown/chapter_2_3_fruit_vegetable_products.md,free from insect infestation
FSSAI baseline,arecanuts,off flavour,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,off flavour (1),src_pdf_011,markdown/chapter_2_3_fruit_vegetable_products.md,shall not have any off flavour
FSSAI baseline,beer,coliforms,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,coliforms (1),src_pdf_018,markdown/comp_alcoholic_beverages_iii_28_08_2023.md,free from coliforms and other pathogenic microorganisms
FSSAI baseline,beer,pathogenic microorganisms,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,pathogenic microorganisms (1),src_pdf_018,markdown/comp_alcoholic_beverages_iii_28_08_2023.md,free from coliforms and other pathogenic microorganisms
FSSAI baseline,canned tomatoes,flavouring agents,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,flavouring agents (1),src_pdf_011,markdown/chapter_2_3_fruit_vegetable_products.md,free from ... flavouring agents
FSSAI baseline,catechu edible,earth,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,earth (1),src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,"free from infestation, sand, earth or other dirt"
FSSAI baseline,catechu edible,sand,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,sand (1),src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,"free from infestation, sand, earth or other dirt"
FSSAI baseline,caviar,texturising agents,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,texturising agents (1),src_pdf_014,markdown/chapter_2_6_fish_and_fish_products.md,The use of colours and texturising agents is not allowed
FSSAI baseline,chicory,artificial colouring,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,artificial colouring (1),src_pdf_008,markdown/chapter_2_10_beverages_other_than_dairy_and_fruits_vegetables_based.md,free from... artificial colouring and flavouring agents
FSSAI baseline,chocolate,carob chips,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,carob chips (1),src_pdf_005,markdown/appendix_a_4.md,chocolate-like products ... such as carob chips
FSSAI baseline,chocolate,cocoa based products,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,cocoa-based products (1),src_pdf_005,markdown/appendix_a_4.md,cocoa-based products ... excluded from the scope of the Standard for Chocolate
FSSAI baseline,cocoa bean,any other seeds,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,any other seeds (1),src_pdf_011,markdown/chapter_2_3_fruit_vegetable_products.md,free from ... admixture of any other seeds
FSSAI baseline,cocoa bean,broken beans,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,broken beans (1),src_pdf_011,markdown/chapter_2_3_fruit_vegetable_products.md,reasonably free from broken beans
FSSAI baseline,cocoa bean,fragments,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,fragments (1),src_pdf_011,markdown/chapter_2_3_fruit_vegetable_products.md,reasonably free from ... fragments
FSSAI baseline,cocoa bean,living insects,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,living insects (1),src_pdf_011,markdown/chapter_2_3_fruit_vegetable_products.md,free from living insects
FSSAI baseline,cocoa bean,pieces of shell,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,pieces of shell (1),src_pdf_011,markdown/chapter_2_3_fruit_vegetable_products.md,reasonably free from ... pieces of shell
FSSAI baseline,coffee chicory mixture,added substance,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,added substance (1),src_pdf_008,markdown/chapter_2_10_beverages_other_than_dairy_and_fruits_vegetables_based.md,shall not contain any other added substance
FSSAI baseline,colostrum,food additives,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,food additives (1),src_pdf_009,markdown/chapter_2_1_dairy_products_and_analogues.md,Colostrum shall not contain any food additives
FSSAI baseline,cream,non dairy based beverage whitener,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,Non-Dairy based beverage whitener (1),src_pdf_005,markdown/appendix_a_4.md,Milk or cream substitute
FSSAI baseline,cupric gluconate,copper,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,Copper (1),src_pdf_021,markdown/compendium_nutra_29_09_2021.md,Chloride: — | (i): (iii) | Calcium chloride: Cupric gluconate
FSSAI baseline,decaffeinated soluble coffee powder,added substances,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,added substances (1),src_pdf_008,markdown/chapter_2_10_beverages_other_than_dairy_and_fruits_vegetables_based.md,shall not contain chicory or any other added substances
FSSAI baseline,dried sweet marjoram,added colouring matters,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,added colouring matters (1),src_pdf_017,markdown/chapter_2_9_salt_spices_condiments_and_related_products.md,free from ... added colouring matters
FSSAI baseline,dried sweet marjoram,foreign odours,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,foreign odours (1),src_pdf_017,markdown/chapter_2_9_salt_spices_condiments_and_related_products.md,free from foreign odours
FSSAI baseline,dried sweet marjoram,rodent contamination,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,rodent contamination (1),src_pdf_017,markdown/chapter_2_9_salt_spices_condiments_and_related_products.md,free from ... rodent contamination
FSSAI baseline,dried sweet marjoram,visible moulds,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,visible moulds (1),src_pdf_017,markdown/chapter_2_9_salt_spices_condiments_and_related_products.md,free from visible moulds
FSSAI baseline,flaxseed oil,argemone oil,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,Argemone oil (1),src_pdf_010,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,Test for argemone oil shall be negative
FSSAI baseline,flaxseed oil,hexane,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,Hexane (1),src_pdf_010,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,oil obtained by expelled pressed method shall be free from hexane residues
FSSAI baseline,food articles,mineral oil,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,mineral oil (1),src_pdf_019,markdown/comp_prohibition_and_restrcition_of_sales_xi_01042025.md,food articles which have been coated with mineral oil
FSSAI baseline,fresh fruits and vegetables,colours,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,colours (1),src_pdf_019,markdown/comp_prohibition_and_restrcition_of_sales_xi_01042025.md,free from coating of ... colours
FSSAI baseline,fresh fruits and vegetables,waxes,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,waxes (1),src_pdf_019,markdown/comp_prohibition_and_restrcition_of_sales_xi_01042025.md,free from coating of waxes
FSSAI baseline,frozen minced fish meat,finishing agents,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,finishing agents (1),src_pdf_014,markdown/chapter_2_6_fish_and_fish_products.md,free from foreign matter and finishing agents
FSSAI baseline,fruits,acetylene gas,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,Acetylene gas (1),src_pdf_019,markdown/comp_prohibition_and_restrcition_of_sales_xi_01042025.md,fruits which have been artificially ripened by use of acetylene gas
FSSAI baseline,green tea,extraneous matter,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,extraneous matter (1),src_pdf_008,markdown/chapter_2_10_beverages_other_than_dairy_and_fruits_vegetables_based.md,free from extraneous matter
FSSAI baseline,green tea,insect fragments,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,insect fragments (1),src_pdf_008,markdown/chapter_2_10_beverages_other_than_dairy_and_fruits_vegetables_based.md,free from... insect fragments
FSSAI baseline,green tea,moulds,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,moulds (1),src_pdf_008,markdown/chapter_2_10_beverages_other_than_dairy_and_fruits_vegetables_based.md,free from... moulds
FSSAI baseline,instant tea in solid form,added colours,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,added colours (1),src_pdf_008,markdown/chapter_2_10_beverages_other_than_dairy_and_fruits_vegetables_based.md,free from... added colours
FSSAI baseline,instant tea in solid form,non permitted flavours,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,non-permitted flavours (1),src_pdf_008,markdown/chapter_2_10_beverages_other_than_dairy_and_fruits_vegetables_based.md,free from... non-permitted flavours
FSSAI baseline,maize corn oil,argemone oil,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,Argemone oil (1),src_pdf_010,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,Test for argemone oil shall be negative
FSSAI baseline,maize corn oil,hexane,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,hexane (1),src_pdf_010,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,shall not contain hexane more than 5.0 ppm
FSSAI baseline,niger seed oil,argemone oil,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,Argemone oil (1),src_pdf_010,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,Test for argemone oil shall be negative
FSSAI baseline,niger seed oil,hexane,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,Hexane (1),src_pdf_010,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,oil obtained by expelled pressed method shall be free from hexane residues
FSSAI baseline,olive oil,mineral oil,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,mineral oil (1),src_pdf_010,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,free from... mineral oil
FSSAI baseline,olive oil,rancidity,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,rancidity (1),src_pdf_010,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,free from rancidity
FSSAI baseline,olive oil,re esterification processes,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,re-esterification processes (1),src_pdf_010,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,to the exclusion of... re-esterification processes
