adulterant_or_substitute,food,distinct_articles,share_of_candidate_food_links_pct,candidate_total_food_link_articles
palm oil family,Ghee,100,56.82,176
palm oil family,Paneer,14,7.95,176
palm oil family,Milk,12,6.82,176
palm oil family,Sunflower oil,10,5.68,176
palm oil family,Tirupati laddu,5,2.84,176
palm oil family,Mustard oil,4,2.27,176
palm oil family,Soybean oil,4,2.27,176
palm oil family,Khoya/mawa,4,2.27,176
palm oil family,Coconut oil,4,2.27,176
palm oil family,laddu,2,1.14,176
palm oil family,Groundnut oil,2,1.14,176
palm oil family,olive oil,2,1.14,176
palm oil family,dairy fat,1,0.57,176
palm oil family,laddus,1,0.57,176
palm oil family,tirupati laddus,1,0.57,176
palm oil family,tirumala srivari laddu,1,0.57,176
palm oil family,srivari laddu,1,0.57,176
palm oil family,cream,1,0.57,176
palm oil family,vanaspati,1,0.57,176
palm oil family,Palm oil,1,0.57,176
palm oil family,channa bhujia,1,0.57,176
palm oil family,sun flower oil,1,0.57,176
palm oil family,soyoil,1,0.57,176
palm oil family,Cheese,1,0.57,176
palm oil family,Edible/cooking oil,1,0.57,176
animal fat,Ghee,102,72.34,141
animal fat,Tirupati laddu,15,10.64,141
animal fat,tirupati laddus,8,5.67,141
animal fat,laddus,3,2.13,141
animal fat,laddu,2,1.42,141
animal fat,laddu prasadam,2,1.42,141
animal fat,Milk,2,1.42,141
animal fat,Palm oil,2,1.42,141
animal fat,tirumala srivari laddu prasadam,1,0.71,141
animal fat,oil,1,0.71,141
animal fat,tirupati prasadam,1,0.71,141
animal fat,Edible/cooking oil,1,0.71,141
animal fat,cooking oils,1,0.71,141
vegetable oil/fat,Ghee,73,69.52,105
vegetable oil/fat,Milk,10,9.52,105
vegetable oil/fat,Paneer,9,8.57,105
vegetable oil/fat,Cheese,5,4.76,105
vegetable oil/fat,Tirupati laddu,2,1.9,105
vegetable oil/fat,Khoya/mawa,2,1.9,105
vegetable oil/fat,animal fat,1,0.95,105
vegetable oil/fat,wall s frozen products,1,0.95,105
vegetable oil/fat,soft drinks,1,0.95,105
vegetable oil/fat,Butter,1,0.95,105
starch,Milk,28,32.94,85
starch,Paneer,20,23.53,85
starch,Khoya/mawa,15,17.65,85
starch,Ghee,11,12.94,85
starch,khowa,2,2.35,85
starch,Butter,2,2.35,85
starch,mithai,2,2.35,85
starch,chhena,1,1.18,85
starch,chenna,1,1.18,85
starch,Curd/yoghurt,1,1.18,85
starch,adulterated turmeric,1,1.18,85
starch,ground spices,1,1.18,85
unspecified adulterant,Ghee,35,51.47,68
unspecified adulterant,Milk,12,17.65,68
unspecified adulterant,Paneer,7,10.29,68
unspecified adulterant,Coconut oil,3,4.41,68
unspecified adulterant,Edible/cooking oil,3,4.41,68
unspecified adulterant,Khoya/mawa,2,2.94,68
unspecified adulterant,tirumala srivari laddu,1,1.47,68
unspecified adulterant,dairy products,1,1.47,68
unspecified adulterant,osmania biscuits,1,1.47,68
