publication_year,food,adulterant_or_substitute,triplet_rows,distinct_articles,mean_confidence
2018,Coconut oil,palm oil family,1,1,0.95
2018,Coconut oil,paraffin,1,1,0.95
2021,Cheese,hexachlorobenzene,1,1,0.95
2021,Coconut oil,unspecified adulterant,1,1,0.75
2021,Edible/cooking oil,aflatoxins,1,1,0.9
2021,Edible/cooking oil,pesticide residue,1,1,0.9
2021,Edible/cooking oil,heavy metals,1,1,0.9
2021,Edible/cooking oil,hydrocyanic acid,1,1,0.85
2021,Edible/cooking oil,contaminants,1,1,0.75
2021,Edible/cooking oil,metanil yellow,1,1,0.95
2021,Edible/cooking oil,high tpm,1,1,0.85
2021,Ghee,vanaspati,7,4,0.9
2021,Ghee,low quality edible oil,3,3,0.9167
2021,Ghee,vegetable cooking oil,2,2,0.875
2021,Ghee,dalda,4,2,0.8875
2021,Ghee,trans fatty acids,1,1,0.9
2021,Ghee,colouring powders,1,1,0.85
2021,Ghee,sub standard raw material,1,1,0.85
2021,Ghee,adulterated ghee,1,1,0.9
2021,Ghee,vegetable oil/fat,2,1,0.925
2021,Ghee,spurious ghee,1,1,0.9
2021,Ghee,palmoline oil,2,1,0.875
2021,Ghee,unspecified adulterant,1,1,0.9
2021,Ghee,palmolive oil,1,1,0.95
2021,Ghee,coconut oil,1,1,0.9
2021,Ghee,almond oil,1,1,0.9
2021,Ghee,hydrogenated oils,1,1,0.85
2021,Ghee,low quality edible oils,1,1,0.95
2021,Ghee,vegetable ghee,1,1,0.95
2021,Ghee,oil coloured with turmeric,1,1,0.95
2021,Ghee,palm oil family,1,1,0.9
2021,Ghee,yellow chemical colour,1,1,0.9
2021,Ghee,colgate,1,1,0.9
2021,Milk,dioxins,1,1,0.85
2021,Milk,embalming powder,1,1,0.9
2021,Milk,carcinogenic toxics,1,1,0.95
2021,Milk,hexachlorobenzene,1,1,0.95
2021,Milk,water,2,1,0.925
2021,Milk,garbage,2,1,0.85
2021,Mustard oil,argemone oil,2,2,0.95
2021,Mustard oil,unspecified adulterant in mustard oil,1,1,0.85
2021,Mustard oil,canola rapeseed mustard,1,1,0.75
2021,Mustard oil,palm oil family,1,1,0.85
2021,Mustard oil,rice bran oil,4,1,0.8875
2021,Mustard oil,dyes,1,1,0.95
2021,Mustard oil,chemicals,1,1,0.95
2021,Mustard oil,essence,1,1,0.85
2021,Mustard oil,colour,1,1,0.85
2021,Mustard oil,metanil yellow,1,1,0.95
2021,Mustard oil,white oil,1,1,0.9
2021,Mustard oil,castor oil,1,1,0.95
