food_pool,publisher,distinct_articles,triplet_rows
Ghee,indiatimes.com,284,2239
Ghee,freepressjournal.in,83,509
Ghee,thehindu.com,74,464
Ghee,thehansindia.com,69,407
Ghee,deccanchronicle.com,67,393
Ghee,newindianexpress.com,60,392
Ghee,hindustantimes.com,57,588
Ghee,indianexpress.com,39,354
Ghee,thehindubusinessline.com,22,182
Ghee,siasat.com,19,137
Ghee,indiatoday.in,16,138
Ghee,livemint.com,11,111
Ghee,india.com,9,50
Ghee,mid-day.com,9,36
Ghee,dnaindia.com,8,36
Ghee,financialexpress.com,8,73
Ghee,newsx.com,8,90
Ghee,rediff.com,8,72
Ghee,starofmysore.com,8,66
Ghee,tribuneindia.com,6,30
Ghee,opindia.com,5,50
Ghee,scroll.in,5,49
Ghee,sentinelassam.com,5,24
Ghee,assamtribune.com,4,38
Ghee,bombaynews.net,4,25
Ghee,swarajyamag.com,4,39
Ghee,thelogicalindian.com,4,6
Ghee,businesstoday.in,3,16
Ghee,ibtimes.co.in,3,32
Ghee,indiasnews.net,3,39
Ghee,newkerala.com,3,17
Ghee,deccanherald.com,2,4
Ghee,mumbainews.net,2,16
Ghee,newdelhinews.net,2,16
Ghee,newstodaynet.com,2,14
Ghee,republicworld.com,2,27
Ghee,thebetterindia.com,2,22
Ghee,thequint.com,2,25
Ghee,theshillongtimes.com,2,21
Ghee,theweek.in,2,15
Ghee,chennaionline.com,1,3
Ghee,etemaaddaily.com,1,2
Ghee,newdelhitimes.com,1,6
Ghee,newslaundry.com,1,9
Ghee,punjabnewsexpress.com,1,10
Ghee,socialsamosa.com,1,11
Ghee,thenewsminute.com,1,4
Milk,timesofindia.indiatimes.com,105,795
Milk,thehindu.com,54,596
Milk,hindustantimes.com,37,282
Milk,indianexpress.com,32,306
Milk,thehansindia.com,31,267
Milk,deccanchronicle.com,28,245
Milk,freepressjournal.in,26,162
Milk,newindianexpress.com,26,219
Milk,news18.com,20,185
Milk,thelogicalindian.com,15,284
Milk,tribuneindia.com,11,141
Milk,economictimes.indiatimes.com,9,90
Milk,thehindubusinessline.com,9,74
Milk,dnaindia.com,8,63
Milk,siasat.com,8,56
Milk,mid-day.com,7,31
Milk,deccanherald.com,6,81
Milk,livemint.com,6,67
Milk,assamtribune.com,5,70
Milk,sentinelassam.com,5,61
Milk,zeenews.india.com,5,25
Milk,andhrajyothy.com,4,12
Milk,en.etemaaddaily.com,4,38
Milk,firstpost.com,4,86
Milk,newkerala.com,4,38
Milk,thenewsminute.com,4,45
Milk,countercurrents.org,3,61
Milk,newsclick.in,3,9
Milk,opindia.com,3,44
Milk,scroll.in,3,73
Milk,thebetterindia.com,3,12
Milk,thewire.in,3,16
Milk,bhaskar.com,2,10
Milk,financialexpress.com,2,34
Milk,newsx.com,2,14
Milk,republicworld.com,2,14
Milk,theshillongtimes.com,2,19
Milk,theweek.in,2,31
Milk,amarujala.com,1,11
Milk,e-pao.net,1,8
Milk,frontline.thehindu.com,1,4
Milk,garhwalpost.in,1,8
Milk,ibtimes.co.in,1,5
Milk,indiasnews.net,1,7
Milk,m.rediff.com,1,8
Milk,nagalandpost.com,1,35
Milk,newdelhitimes.com,1,5
Milk,newstodaynet.com,1,5
Milk,rediff.com,1,9
Milk,starofmysore.com,1,2
Milk,swarajyamag.com,1,8
Milk,uttarbangasambad.com,1,14
Milk,vaartha.com,1,2
Oil,indiatimes.com,191,1230
Oil,thehindu.com,51,261
Oil,freepressjournal.in,40,217
Oil,hindustantimes.com,31,270
Oil,newindianexpress.com,27,110
Oil,thehindubusinessline.com,23,104
Oil,indianexpress.com,19,169
Oil,siasat.com,15,87
Oil,indiatoday.in,13,83
Oil,livemint.com,13,62
Oil,thehansindia.com,13,109
Oil,deccanchronicle.com,12,58
Oil,financialexpress.com,8,54
Oil,india.com,7,66
Oil,thelogicalindian.com,5,64
Oil,businesstoday.in,4,23
Oil,timesofindia.indiatimes.com,4,32
Oil,tribuneindia.com,4,21
Oil,assamtribune.com,3,49
Oil,garhwalpost.in,3,22
Oil,rediff.com,3,4
Oil,sentinelassam.com,3,9
Oil,theweek.in,3,19
Oil,dnaindia.com,2,4
Oil,etemaaddaily.com,2,7
Oil,mid-day.com,2,10
Oil,morungexpress.com,2,15
Oil,newkerala.com,2,15
Oil,swarajyamag.com,2,29
Oil,afaqs.com,1,2
Oil,bombaynews.net,1,4
Oil,businessworld.in,1,1
Oil,deccanherald.com,1,5
Oil,deshdoot.com,1,8
Oil,foodnavigator-asia.com,1,10
Oil,healthandme.com,1,13
Oil,indiasnews.net,1,1
Oil,nagalandpost.com,1,6
Oil,newsx.com,1,3
Oil,opindia.com,1,1
Oil,theprint.in,1,3
