food,observed_effect,candidate_adulterant,articles_with_food_effect_context,articles_also_naming_candidate,observed_article_share_pct,laplace_smoothed_presence_pct,mean_candidate_confidence,interpretation
Milk,renal failure,ethylene glycol,41,23,56.1,55.81,0.9413,"hypothesis-ranking association, not a calibrated causal probability"
Milk,fflo acuteeffect,unknown adulterant,29,12,41.38,41.94,0.8333,"hypothesis-ranking association, not a calibrated causal probability"
Milk,multi-organ failure,ethylene glycol,12,11,91.67,85.71,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,renal failure,unknown adulterant,41,11,26.83,27.91,0.8636,"hypothesis-ranking association, not a calibrated causal probability"
Milk,anuria,ethylene glycol,19,10,52.63,52.38,0.94,"hypothesis-ranking association, not a calibrated causal probability"
Milk,cancer/carcinogenicity,urea,21,10,47.62,47.83,0.93,"hypothesis-ranking association, not a calibrated causal probability"
Milk,cancer/carcinogenicity,detergent,21,9,42.86,43.48,0.9278,"hypothesis-ranking association, not a calibrated causal probability"
Milk,fflo acuteeffect,ethylene glycol,29,9,31.03,32.26,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,anuria,unknown adulterant,19,8,42.11,42.86,0.8688,"hypothesis-ranking association, not a calibrated causal probability"
Milk,vomiting,ethylene glycol,16,7,43.75,44.44,0.9357,"hypothesis-ranking association, not a calibrated causal probability"
Milk,liver damage,urea,8,5,62.5,60.0,0.93,"hypothesis-ranking association, not a calibrated causal probability"
Milk,food poisoning,water,10,5,50.0,50.0,0.91,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,cancer/carcinogenicity,detergent,12,5,41.67,42.86,0.92,"hypothesis-ranking association, not a calibrated causal probability"
Milk,gastrointestinal illness,urea,15,5,33.33,35.29,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,gastrointestinal illness,detergent,15,5,33.33,35.29,0.89,"hypothesis-ranking association, not a calibrated causal probability"
Milk,death,ethylene glycol,18,5,27.78,30.0,0.93,"hypothesis-ranking association, not a calibrated causal probability"
Milk,cancer/carcinogenicity,starch,21,5,23.81,26.09,0.93,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,kidney damage,detergent,4,4,100.0,83.33,0.925,"hypothesis-ranking association, not a calibrated causal probability"
Milk,urinary obstruction,ethylene glycol,4,4,100.0,83.33,0.95,"hypothesis-ranking association, not a calibrated causal probability"
fruits,cancer/carcinogenicity,pesticide residue,5,4,80.0,71.43,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,gastrointestinal illness,vanaspati,6,4,66.67,62.5,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,cardiovascular disease,animal fat,7,4,57.14,55.56,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,kidney damage,urea,7,4,57.14,55.56,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,cancer/carcinogenicity,vanaspati,8,4,50.0,50.0,0.9125,"hypothesis-ranking association, not a calibrated causal probability"
Milk,liver damage,detergent,8,4,50.0,50.0,0.925,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,food poisoning,starch,9,4,44.44,45.45,0.8625,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,food poisoning,cheese analogue,9,4,44.44,45.45,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,food poisoning,detergent,10,4,40.0,41.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,cancer/carcinogenicity,starch,12,4,33.33,35.71,0.8875,"hypothesis-ranking association, not a calibrated causal probability"
Milk,gastrointestinal illness,water,15,4,26.67,29.41,0.8875,"hypothesis-ranking association, not a calibrated causal probability"
Milk,vomiting,urea,16,4,25.0,27.78,0.925,"hypothesis-ranking association, not a calibrated causal probability"
Milk,vomiting,detergent,16,4,25.0,27.78,0.925,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,food poisoning,vanaspati,3,3,100.0,80.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
everest fish curry masala,cancer/carcinogenicity,ethylene oxide,3,3,100.0,80.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,allergic reaction,vanaspati,4,3,75.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,kidney damage,urea,4,3,75.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,nausea,vanaspati,4,3,75.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Mustard oil,cancer/carcinogenicity,argemone oil,4,3,75.0,66.67,0.9167,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,gastrointestinal illness,detergent,5,3,60.0,57.14,0.9167,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,gastrointestinal illness,starch,5,3,60.0,57.14,0.9167,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,allergic reaction,detergent,5,3,60.0,57.14,0.9167,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,allergic reaction,starch,5,3,60.0,57.14,0.9167,"hypothesis-ranking association, not a calibrated causal probability"
Milk,acuteeffect,ethylene glycol,6,3,50.0,50.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
vegetables,cancer/carcinogenicity,pesticide residue,6,3,50.0,50.0,0.9333,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,cardiovascular disease,vanaspati,7,3,42.86,44.44,0.9167,"hypothesis-ranking association, not a calibrated causal probability"
Milk,nausea,water,7,3,42.86,44.44,0.8833,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,allergic reaction,cheese analogue,7,3,42.86,44.44,0.9333,"hypothesis-ranking association, not a calibrated causal probability"
Milk,kidney damage,starch,7,3,42.86,44.44,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,kidney damage,detergent,7,3,42.86,44.44,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,nausea,detergent,7,3,42.86,44.44,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,allergic reaction,urea,8,3,37.5,40.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,allergic reaction,detergent,8,3,37.5,40.0,0.8833,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,cancer/carcinogenicity,animal fat,8,3,37.5,40.0,0.9333,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,food poisoning,detergent,9,3,33.33,36.36,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,diarrhoea,urea,11,3,27.27,30.77,0.9333,"hypothesis-ranking association, not a calibrated causal probability"
Milk,diarrhoea,detergent,11,3,27.27,30.77,0.9333,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,cancer/carcinogenicity,urea,12,3,25.0,28.57,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,gastrointestinal illness,ethylene glycol,15,3,20.0,23.53,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,gastrointestinal illness,unknown adulterant,15,3,20.0,23.53,0.8833,"hypothesis-ranking association, not a calibrated causal probability"
Milk,vomiting,palm oil family,16,3,18.75,22.22,0.9167,"hypothesis-ranking association, not a calibrated causal probability"
Milk,vomiting,unknown adulterant,16,3,18.75,22.22,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,death,poison,18,3,16.67,20.0,0.9333,"hypothesis-ranking association, not a calibrated causal probability"
Milk,death,detergent,18,3,16.67,20.0,0.9333,"hypothesis-ranking association, not a calibrated causal probability"
Milk,death,unknown adulterant,18,3,16.67,20.0,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Milk,cancer/carcinogenicity,formalin/formaldehyde,21,3,14.29,17.39,0.9333,"hypothesis-ranking association, not a calibrated causal probability"
Milk,cancer/carcinogenicity,water,21,3,14.29,17.39,0.9167,"hypothesis-ranking association, not a calibrated causal probability"
Milk,renal failure,urea,41,3,7.32,9.3,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,renal failure,unknown contaminant,41,3,7.32,9.3,0.8167,"hypothesis-ranking association, not a calibrated causal probability"
Milk,renal failure,detergent,41,3,7.32,9.3,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,respiratory issues,animal fat,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,cardiovascular disease,fungus,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,cardiovascular disease,urea,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,cardiovascular disease,detergent,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,cardiovascular disease,starch,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,cardiovascular disease,saccharine,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,chroniceffect,ethylene glycol,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,kidney harm,ethylene glycol,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,chroniceffect,industrial grade acetic acid,2,2,100.0,75.0,0.825,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,renal failure,industrial grade acetic acid,2,2,100.0,75.0,0.825,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,kidney harm,industrial grade acetic acid,2,2,100.0,75.0,0.825,"hypothesis-ranking association, not a calibrated causal probability"
ice cream,chroniceffect,adulterated materials,2,2,100.0,75.0,0.85,"hypothesis-ranking association, not a calibrated causal probability"
ice cream,renal failure,adulterated materials,2,2,100.0,75.0,0.85,"hypothesis-ranking association, not a calibrated causal probability"
ice cream,organ damage,adulterated materials,2,2,100.0,75.0,0.85,"hypothesis-ranking association, not a calibrated causal probability"
ice cream,multi-organ failure,adulterated materials,2,2,100.0,75.0,0.85,"hypothesis-ranking association, not a calibrated causal probability"
ice cream,allergic reaction,adulterated materials,2,2,100.0,75.0,0.85,"hypothesis-ranking association, not a calibrated causal probability"
ice cream,acuteeffect,adulterated materials,2,2,100.0,75.0,0.85,"hypothesis-ranking association, not a calibrated causal probability"
ice cream,kidney harm,adulterated materials,2,2,100.0,75.0,0.85,"hypothesis-ranking association, not a calibrated causal probability"
honey,evolution of drug resistant superbugs,high fructose corn syrup,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
honey,evolution of drug resistant superbugs,maltotriose,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
honey,evolution of drug resistant superbugs,beetroot syrup,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
honey,evolution of drug resistant superbugs,sugarcane syrup,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
honey,evolution of drug resistant superbugs,rice syrup,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
honey,evolution of drug resistant superbugs,corn syrup,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
honey,evolution of drug resistant superbugs,mannose,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
honey,evolution of drug resistant superbugs,maltose,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
honey,increases sugar level in the body,high fructose corn syrup,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
honey,increases sugar level in the body,maltotriose,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
honey,increases sugar level in the body,beetroot syrup,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
honey,increases sugar level in the body,sugarcane syrup,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
honey,increases sugar level in the body,rice syrup,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
honey,increases sugar level in the body,corn syrup,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
honey,increases sugar level in the body,mannose,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
honey,increases sugar level in the body,maltose,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,obesity,vanaspati,2,2,100.0,75.0,0.925,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,obesity,animal fat,2,2,100.0,75.0,0.925,"hypothesis-ranking association, not a calibrated causal probability"
mithai,nausea,metallic powders,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithai,nausea,starch,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithai,nausea,artificial dyes,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithai,digestive irritation,metallic powders,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithai,digestive irritation,starch,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithai,digestive irritation,artificial dyes,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithai,rashes,metallic powders,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithai,rashes,starch,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithai,rashes,artificial dyes,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithai,gastrointestinal illness,metallic powders,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithai,gastrointestinal illness,starch,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithai,gastrointestinal illness,artificial dyes,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithai,allergic reaction,metallic powders,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithai,allergic reaction,starch,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithai,allergic reaction,artificial dyes,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithai,food poisoning,metallic powders,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithai,food poisoning,starch,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithai,food poisoning,artificial dyes,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,digestive irritation,vanaspati,2,2,100.0,75.0,0.875,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,rashes,vanaspati,2,2,100.0,75.0,0.875,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,nausea,detergent,2,2,100.0,75.0,0.925,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,nausea,starch,2,2,100.0,75.0,0.925,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,digestive irritation,detergent,2,2,100.0,75.0,0.925,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,digestive irritation,starch,2,2,100.0,75.0,0.925,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,rashes,detergent,2,2,100.0,75.0,0.925,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,rashes,starch,2,2,100.0,75.0,0.925,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,food poisoning,detergent,2,2,100.0,75.0,0.925,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,food poisoning,starch,2,2,100.0,75.0,0.925,"hypothesis-ranking association, not a calibrated causal probability"
silver vark,nausea,aluminium foil,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
silver vark,digestive irritation,aluminium foil,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
silver vark,rashes,aluminium foil,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
silver vark,gastrointestinal illness,aluminium foil,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
silver vark,allergic reaction,aluminium foil,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
silver vark,food poisoning,aluminium foil,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,digestive irritation,water,2,2,100.0,75.0,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Milk,rashes,water,2,2,100.0,75.0,0.85,"hypothesis-ranking association, not a calibrated causal probability"
dry fruits,nausea,mineral oil,2,2,100.0,75.0,0.875,"hypothesis-ranking association, not a calibrated causal probability"
dry fruits,digestive irritation,mineral oil,2,2,100.0,75.0,0.875,"hypothesis-ranking association, not a calibrated causal probability"
dry fruits,rashes,mineral oil,2,2,100.0,75.0,0.875,"hypothesis-ranking association, not a calibrated causal probability"
dry fruits,gastrointestinal illness,mineral oil,2,2,100.0,75.0,0.875,"hypothesis-ranking association, not a calibrated causal probability"
dry fruits,allergic reaction,mineral oil,2,2,100.0,75.0,0.875,"hypothesis-ranking association, not a calibrated causal probability"
dry fruits,food poisoning,mineral oil,2,2,100.0,75.0,0.875,"hypothesis-ranking association, not a calibrated causal probability"
Milk,acute renal dysfunction,unknown adulterant,2,2,100.0,75.0,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,long term health issues,cheese analogue,2,2,100.0,75.0,0.925,"hypothesis-ranking association, not a calibrated causal probability"
Mustard oil,cardiovascular disease,palm oil family,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,headaches,urea,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,headaches,sodium bicarbonate,2,2,100.0,75.0,0.925,"hypothesis-ranking association, not a calibrated causal probability"
Milk,heart failure,urea,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,heart failure,sodium bicarbonate,2,2,100.0,75.0,0.925,"hypothesis-ranking association, not a calibrated causal probability"
Milk,infertility,urea,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,infertility,sodium bicarbonate,2,2,100.0,75.0,0.925,"hypothesis-ranking association, not a calibrated causal probability"
vegetables,headaches,oxytocin,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
vegetables,heart failure,oxytocin,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
vegetables,dizziness,oxytocin,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
vegetables,infertility,oxytocin,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,headaches,caustic soda,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,headaches,starch,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,heart failure,caustic soda,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,heart failure,starch,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,dizziness,caustic soda,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,dizziness,starch,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,infertility,caustic soda,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,infertility,starch,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
ice cream,headaches,detergent,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
ice cream,heart failure,detergent,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
ice cream,dizziness,detergent,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
ice cream,infertility,detergent,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
fruit juices,headaches,synthetic flavours,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
fruit juices,headaches,artificial colours,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
fruit juices,heart failure,synthetic flavours,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
fruit juices,heart failure,artificial colours,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
fruit juices,dizziness,synthetic flavours,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
fruit juices,dizziness,artificial colours,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
fruit juices,infertility,synthetic flavours,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
