model_name,representation,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,fn,tn
"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",ensemble:tfidf+emb+transf,0.9095,0.8682,0.8058,0.8358,0.9424,0.8991,112,17,27,330
"ens_wavg[bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.75,0.25]",ensemble:emb+transf,0.9033,0.8333,0.8273,0.8303,0.9429,0.9011,115,23,24,324
"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb|0.40,0.60]",ensemble:tfidf+emb,0.9053,0.872,0.7842,0.8258,0.9331,0.8781,109,16,30,331
"ens_wavg[bge-large_rbfsvm/oilemb+bge-large_rbfsvm/cmean|0.78,0.22]",ensemble:oilwin+fullart,0.9033,0.8538,0.7986,0.8253,0.9399,0.8919,111,19,28,328
emb_bge-large_rbfsvm,oil_window_embedding,0.8992,0.8261,0.8201,0.8231,0.9391,0.8921,114,24,25,323
ens_avg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb],ensemble:tfidf+emb,0.9012,0.8699,0.7698,0.8168,0.9296,0.872,107,16,32,331
ens_avg[bge-large_rbfsvm/oilemb+bge-large_rbfsvm/cmean],ensemble:oilwin+fullart,0.8971,0.8397,0.7914,0.8148,0.9383,0.8878,110,21,29,326
emb_mpnet_rbfsvm,oil_window_embedding,0.8848,0.7785,0.8345,0.8056,0.9285,0.8588,116,33,23,314
ens_avg[bge-large_rbfsvm/oilemb+roberta-base_lead_512/full],ensemble:emb+transf,0.8807,0.7682,0.8345,0.8,0.9422,0.8981,116,35,23,312
emb_bge-large_rbfsvm,full_chunk_mean,0.8889,0.8244,0.777,0.8,0.9309,0.8741,108,23,31,324
ens_avg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full],ensemble:tfidf+emb+transf,0.8827,0.7929,0.7986,0.7957,0.9398,0.8927,111,29,28,318
