round_number,round_name,round_description,date_start,date_end,source_run,final_keep,final_human_label,human_review_status,human_review_source,model_final_label,model_confidence,title,source,date,url,domain,publication_date,word_count,reason,evidence_phrase,llm_label,llm_confidence,llm_reason,oil_role,edible_oil_terms,adulteration_action_terms,negative_terms,query_family,query_id,article_id,file_path,cleaned_text_path,article_text
2,round_02_mediacloud_not_terms_title_proximity,"MediaCloud Indian collections, Jan 1 2021 to Jun 23 2026, Round 1 positive terms plus human-approved NOT terms, title-only and proximity-heavy retrieval; human-reviewed relevance labels with metadata-rescue append.",2021-01-01,2026-06-23,edible_oil_adulteration_round_02_2026-06-23,0,irrelevant,human_reviewed,oil_relevance_review.xlsx:relevant,relevant,1.0,Patanjali's mustard oil unit in Alwar raided by Rajasthan govt: Report,opindia.com,2021-05-27,https://www.opindia.com/2021/05/patanjali-mustard-oil-mill-alwar-raided-rajasthan-gehlot/,opindia.com,2021-05-27,343,LLM reading: Mustard oil unit raided by government,Alwar collectorate officials have raided Patanjali’s mustard oil manufacturer Singhania oil mill.,relevant,1.0,Mustard oil unit raided by government,adulterated_product,mustard oil,raid; raided,,title_only,title_oils_enforcement,1630a8aa-b003-487c-aa02-f8e22d843f66,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\opindia.com\6f0a66da1f38270c.txt,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\opindia.com\6f0a66da1f38270c.txt,"As the duel between IMA and founder of Patanjali Ramdev Baba intensifies over the latter’s remark on allopathy, it has now been reported that Alwar collectorate officials have raided Patanjali’s mustard oil manufacturer Singhania oil mill.
As per a Republic World report, a raid was conducted on the mill on the orders of Rajasthan Chief Minister Ashok Gehlot. The mill has been sealed after reportedly large quantities of Patanjali’s packing pouches and goods were ‘recovered’ from the site. It is not clear why the unit was raided.
The reason for the raid is unclear, however, the Alwar collectorate has formed an inquiry committee and hinted that the investigation could be given to CB-CID to probe the matter.
IMA- Ramdev Baba tussle
The Indian Medical Association (IMA) headed by Dr Johnrose Austin Jayalal with Congres leader Dr Navjot Singh Dahiya as the National Vice President has launched a targeted attack on Yog Guru Baba Ramdev since his remarks on allopathy.
The conflict between the two, however, has been fueling since the launch of Coronil advocated by the Union Health Minister. The association since then amidst the pandemic has been running a ‘Say No To Mixopathy’ campaign to restrict the entry of Ayurveda and even made the doctors go on a hunger strike.
IMA has now upped the ante after Baba Ramdev’s statement on allopathy and the allopathic doctors went viral on social media, taking strong objection and issuing letter after letter to ministries and state governments to take stern action against him.
After Baba Ramdev’s rebuttal to their concentrated attack, the IMA has now filed a Rs 1000 crore defamation case over his statements.
IMA’s constant attacks against Baba Ramdev and his Patanjali organisation has intensified after recent reports of the IMA President’s open endorsement and support for using medical resources to spread Christianity in India were noticed. In several interviews and statements, the IMA President JA Jayalal has been found calling for proselytization, even going to the extent of declaring that the Covid pandemic is an opportunity to make the masses accept Jesus."
2,round_02_mediacloud_not_terms_title_proximity,"MediaCloud Indian collections, Jan 1 2021 to Jun 23 2026, Round 1 positive terms plus human-approved NOT terms, title-only and proximity-heavy retrieval; human-reviewed relevance labels with metadata-rescue append.",2021-01-01,2026-06-23,edible_oil_adulteration_round_02_2026-06-23,0,irrelevant,human_reviewed,oil_relevance_review.xlsx:relevant,relevant,1.0,FSSAI asks states to enforce decision to ban blending of mustard oil with other cooking oil,indiatimes.com,2021-06-09,https://economictimes.indiatimes.com/news/india/fssai-asks-states-to-enforce-decision-to-ban-blending-of-mustard-oil-with-other-cooking-oil/articleshow/83373116.cms,economictimes.indiatimes.com,2021-06-09,107,LLM reading: Mustard oil is mentioned as the adulterated product,ban blending of mustard oil with other cooking oil,relevant,1.0,Mustard oil is mentioned as the adulterated product,adulterated_product,edible oil; cooking oil; mustard oil; vegetable oil,food safety; FSSAI; inspection,,title_only,title_oils_enforcement,db7028f4-b81b-4cf2-8124-dd0e94865193,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\economictimes.indiatimes.com\285defbf6d07d836.txt,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\economictimes.indiatimes.com\285defbf6d07d836.txt,"Related
To ensure that the prohibition is effectively enforced, the food regulator has issued an order on June 8 asking all the Commissioners of Food Safety of States/UTs and Central Licensing Authority to carry out an inspection drive.
As per the FSSAI regulations, blending of two edible oils is permitted, provided the proportion by weight of any edible vegetable oil used in the blending process is not less than 20 per cent.
Edible Oil industry body COOIT said the move will benefit mustard growers as well as consumers.
Suresh Nagpal, Chairman of COOIT, said mustard growers will get encouragement to increase the sowing area under mustard crop."
2,round_02_mediacloud_not_terms_title_proximity,"MediaCloud Indian collections, Jan 1 2021 to Jun 23 2026, Round 1 positive terms plus human-approved NOT terms, title-only and proximity-heavy retrieval; human-reviewed relevance labels with metadata-rescue append.",2021-01-01,2026-06-23,edible_oil_adulteration_round_02_2026-06-23,0,irrelevant,human_reviewed,oil_relevance_review.xlsx:relevant,relevant,1.0,FSSAI urges states to enforce ban on blending of mustard oil with other cooking oils - BusinessToday,businesstoday.in,2021-06-09,https://www.businesstoday.in/current/economy-politics/fssai-urges-states-to-enforce-ban-on-blending-of-mustard-oil-with-other-cooking-oils/story/441253.html,businesstoday.in,2021-06-09,215,LLM reading: Mustard oil is the adulterated product being discussed.,ban on blending of mustard oil with any other cooking oil,relevant,1.0,Mustard oil is the adulterated product being discussed.,adulterated_product,edible oil; cooking oil; mustard oil; vegetable oil,food safety; FSSAI; inspection,,title_only,title_oils_enforcement,1a2425f9-3199-4bdb-8a50-841cb46f3c6f,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\businesstoday.in\a3fdf3046e30ac7c.txt,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\businesstoday.in\a3fdf3046e30ac7c.txt,"Food regulator FSSAI has asked states to effectively enforce the decision to ban blending of mustard oil with any other cooking oil from June 8. In its notification dated March 8, the FSSAI had prohibited the blending of mustard oil for production of Multi-Sourced Edible Vegetable Oils (MSEVOs) with effect from June 8.
To ensure that the prohibition is effectively enforced, the food regulator has issued an order on June 8 asking all the Commissioners of Food Safety of States/UTs and Central Licensing Authority to carry out an inspection drive.
As per the FSSAI regulations, blending of two edible oils is permitted, provided the proportion by weight of any edible vegetable oil used in the blending process is not less than 20 per cent.
Edible Oil industry body COOIT said the move will benefit mustard growers as well as consumers.
Suresh Nagpal, Chairman of COOIT, said mustard growers will get encouragement to increase the sowing area under mustard crop.
Higher domestic production of mustard oil will lead to a fall in edible oil imports to some extent, he added.
""Now since there will not be mixing of any other oil, the demand of pure mustard oil will increase,"" Nagpal said.
Also Read: Centre buys record 418.47 lakh tonnes wheat for Rs 82,648 cr in 2021"
2,round_02_mediacloud_not_terms_title_proximity,"MediaCloud Indian collections, Jan 1 2021 to Jun 23 2026, Round 1 positive terms plus human-approved NOT terms, title-only and proximity-heavy retrieval; human-reviewed relevance labels with metadata-rescue append.",2021-01-01,2026-06-23,edible_oil_adulteration_round_02_2026-06-23,0,irrelevant,human_reviewed,oil_relevance_review.xlsx:relevant,relevant,1.0,FSSAI asks states to enforce decision to ban blending of mustard oil with other cooking oil,livemint.com,2021-06-09,https://www.livemint.com/news/india/fssai-asks-states-to-enforce-decision-to-ban-blending-of-mustard-oil-with-other-cooking-oil-11623253163555.html,livemint.com,2021-06-09,260,LLM reading: Mustard oil is itself being banned/adulterated,FSSAI had prohibited the blending of mustard oil for production of Multi-Sourced Edible Vegetable Oils (MSEVOs),relevant,1.0,Mustard oil is itself being banned/adulterated,adulterated_product,edible oil; cooking oil; mustard oil; vegetable oil,food safety; FSSAI; inspection,,title_only,title_oils_enforcement,fa07e567-9612-4929-a9de-681118562778,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\livemint.com\4186a8aef41f3576.txt,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\livemint.com\4186a8aef41f3576.txt,"FSSAI asks states to enforce decision to ban blending of mustard oil with other cooking oil
To ensure that the prohibition is effectively enforced, the food regulator has issued an order on June 8 asking all the Commissioners of Food Safety of States/UTs and Central Licensing Authority to carry out an inspection drive
PTI
Published9 Jun 2021, 09:16 PM IST
Food regulator FSSAI has asked states to effectively enforce the decision to ban blending of mustard oil with any other cooking oil from June 8. In its notification dated March 8, the FSSAI had prohibited the blending of mustard oil for production of Multi-Sourced Edible Vegetable Oils (MSEVOs) with effect from June 8.
To ensure that the prohibition is effectively enforced, the food regulator has issued an order on June 8 asking all the Commissioners of Food Safety of States/UTs and Central Licensing Authority to carry out an inspection drive. As per the FSSAI regulations, blending of two edible oils is permitted, provided the proportion by weight of any edible vegetable oil used in the blending process is not less than 20 per cent.
Edible Oil industry body COOIT said the move will benefit mustard growers as well as consumers. Suresh Nagpal, Chairman of COOIT, said mustard growers will get encouragement to increase the sowing area under mustard crop. Higher domestic production of mustard oil will lead to a fall in edible oil imports to some extent, he added. ""Now since there will not be mixing of any other oil, the demand of pure mustard oil will increase,"" Nagpal said."
2,round_02_mediacloud_not_terms_title_proximity,"MediaCloud Indian collections, Jan 1 2021 to Jun 23 2026, Round 1 positive terms plus human-approved NOT terms, title-only and proximity-heavy retrieval; human-reviewed relevance labels with metadata-rescue append.",2021-01-01,2026-06-23,edible_oil_adulteration_round_02_2026-06-23,0,irrelevant,human_reviewed,oil_relevance_review.xlsx:relevant,relevant,1.0,Cooking Oil Adulteration: Is your cooking oil adulterated with dangerous metanil yellow colour?,indiatimes.com,2021-09-09,https://timesofindia.indiatimes.com/life-style/food-news/is-your-cooking-oil-adulterated-with-dangerous-metanil-yellow-colour/photostory/86060302.cms,timesofindia.indiatimes.com,2021-09-09,303,LLM reading: cooking oil is itself the adulterated product,"This week, they have shared a test video on how to detect the use of a prohibited colour like metanil yellow in cooking oil.",relevant,1.0,cooking oil is itself the adulterated product,adulterated_product,cooking oil,adulterated; adulteration; FSSAI,,proximity,proximity_oil_adulteration,0c8b265b-1b6b-498f-9533-91aa8c0b63d5,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\fd41a362384538ef.txt,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\fd41a362384538ef.txt,"FSSAI is back with its weekly lessons on how to check food adulteration at home. In the long run, adulterated food can be deadly and that is the reason, FSSAI has started an initiative called #DetectingFoodAdulterants. In this series, every week they share a simple trick that you can try at home to check whether your food is adulterated or not. This week, they have shared a test video on how to detect the use of a prohibited colour like metanil yellow in cooking oil. Here’s how you can check the adulteration at home. (Image: istock)
1. Take a sample of 1 ml oil in a test tube.
2. Add 4ml of distilled water to it and shake the test tube.
3. Take 2ml of this mixture in another test tube and add 2l of concentrated HCL to the mixture.
4. No colour change will be observed in the upper layer of unadulterated oil.
5. While the colour changes in the upper acid of adulterated oil. (Image: istock)
According to experts, metanil yellow is a non-permitted food colour used extensively in India. According to the National Library of Medicine, metanil yellow is not fit for human consumption. As per an animal study conducted in January 1993 by the journal Food Chemistry and Toxicology, there is a link between long-term consumption of metanil yellow and the levels of serotonin, dopamine and noradrenaline in parts of the brain. It reduces the brain's ability to learn and grasp things. (Image: istock)
As per the FSSAI tweet, HCL acid extracts the prohibited colour, like metanil yellow from the adulterated oil sample and shows colour change in the acid layer, while pure oil does not show any change in colour. (Image: istock)
For scrumptious recipes, videos, and exciting food news, subscribe to our free Daily and Weekly Newsletters."
2,round_02_mediacloud_not_terms_title_proximity,"MediaCloud Indian collections, Jan 1 2021 to Jun 23 2026, Round 1 positive terms plus human-approved NOT terms, title-only and proximity-heavy retrieval; human-reviewed relevance labels with metadata-rescue append.",2021-01-01,2026-06-23,edible_oil_adulteration_round_02_2026-06-23,0,irrelevant,human_reviewed,oil_relevance_review.xlsx:relevant,relevant,1.0,Utta Pradesh: Imported edible oil worth Rs 30 lakh seized in Nanpara | Lucknow News - Times of India,indiatimes.com,2022-01-13,https://timesofindia.indiatimes.com/city/lucknow/imported-edible-oil-worth-rs-30-lakh-seized-in-nanpara/articleshow/88882614.cms,timesofindia.indiatimes.com,2022-01-13,103,LLM reading: edible oil is itself the adulterated product,edible oil worth over Rs 30 lakh kept in the two godowns,relevant,1.0,edible oil is itself the adulterated product,adulterated_product,edible oil,seized; penalty,,title_only,title_oils_enforcement,1a8f9c92-6ead-40d2-9ba6-1aee9a52df7c,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\760e5c19ecc9f822.txt,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\760e5c19ecc9f822.txt,"LUCKNOW: A 20-member team of state goods and service tax (SGST) carried out searches at the house, godown and factory of an agricultural products dealer in Nanpara area of Bahraich.
An officer privy to the probe said that searches were being conducted from Tuesday night and the SGST team has detected huge tax evasion. The firm Alok Trading Company had illegally imported edible oil from Nepal and stashed it in two godowns.
The officer said that the SGST team had seized edible oil worth over Rs 30 lakh kept in the two gowdowns. The company was asked to pay a penalty and tax."
2,round_02_mediacloud_not_terms_title_proximity,"MediaCloud Indian collections, Jan 1 2021 to Jun 23 2026, Round 1 positive terms plus human-approved NOT terms, title-only and proximity-heavy retrieval; human-reviewed relevance labels with metadata-rescue append.",2021-01-01,2026-06-23,edible_oil_adulteration_round_02_2026-06-23,0,irrelevant,human_reviewed,oil_relevance_review.xlsx:relevant,relevant,1.0,Vig Raids To Check Edible Oil Hoarding | Vijayawada News - Times of India,indiatimes.com,2022-03-07,https://timesofindia.indiatimes.com/city/vijayawada/vig-raids-to-check-edible-oil-hoarding/articleshow/90039485.cms,timesofindia.indiatimes.com,2022-03-07,275,LLM reading: edible oil hoarding and adulteration checks,"surprise raids were carried out on 126 wholesale and retail traders, supermarkets, and manufacturing units by vigilance & enforcement department officials",relevant,1.0,edible oil hoarding and adulteration checks,adulterated_product,edible oil; sunflower oil,,,title_only,title_oils_enforcement,289764a9-8c55-490d-97d2-99f446ce6cea,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\3f602903bb3493e7.txt,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\3f602903bb3493e7.txt,"Vijayawada/Visakhapatnam: With a view to controlling the price of palmolein oil, other edible oils, oilseeds, and pulses in market, surprise raids were carried out on 126 wholesale and retail traders, supermarkets, and manufacturing units by vigilance & enforcement department officials on Sunday. A series of complaints related to artificial crisis, black marketing and steep rise in prices of edible oil have emerged in the backdrop of Russia-Ukraine conflict.
The raids followed complaints of artificial crisis on the pretext that the supply of sunflower oil got disrupted because of the ongoing conflict between Russia and Ukraine.
India imports nearly 80 to 90 per cent of sunflower oil from Ukraine and Russia.
Speaking to TOI, additional superintendent of vigilance and enforcement department, G Swaroopa Rani, said they have conducted the raids on the big stores and the godowns in various parts of the city to check hoarding of edible oils. âWe didnât observe any illegal trading and artificial crisis of edible oil at the big supermarkets. The raids will continue in some more stores in the city on Monday to check hoarding and keep a tab on the possible illegal trading,â she added.
However, the officials didnât rule out the illegal trade of edible oil at some small shops in the city. It is not possible to carry out raids on the small shops, they added.
Sunflower oil is now priced at 160 to 180 a litre depending on quality. However, some traders are selling it at higher prices citing demand and supply gap due to Russia-Ukraine crisis. Some traders are creating artificial shortage to earn quick money, said K 
Siva Kumar, a resident of Vizag city."
2,round_02_mediacloud_not_terms_title_proximity,"MediaCloud Indian collections, Jan 1 2021 to Jun 23 2026, Round 1 positive terms plus human-approved NOT terms, title-only and proximity-heavy retrieval; human-reviewed relevance labels with metadata-rescue append.",2021-01-01,2026-06-23,edible_oil_adulteration_round_02_2026-06-23,0,irrelevant,human_reviewed,oil_relevance_review.xlsx:relevant,relevant,1.0,Russia-Ukraine war: Vigilance officials raid traders in AP after rise in edible oil prices,indiatoday.in,2022-03-07,https://www.indiatoday.in/india/story/andhra-pradesh-edible-oil-traders-vigilance-raid-hoarding-black-market-ukraine-import-1921765-2022-03-07,indiatoday.in,2022-03-07,278,LLM reading: edible oil adulteration/hoarding incident,Cases were registered against traders for hoarding and hiking the prices of edible oils.,relevant,1.0,edible oil adulteration/hoarding incident,adulterated_product,edible oil; sunflower oil,raid; raided,,title_only,title_oils_enforcement,423578ba-1a77-445e-be2f-0e61ac23cca1,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\indiatoday.in\376830ed074d0e1d.txt,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\indiatoday.in\376830ed074d0e1d.txt,"Russia-Ukraine war: Vigilance officials raid traders in AP after rise in edible oil prices
Vigilance officials raided traders in Andhra Pradesh after prices of edible oils increased in the state, since the beginning of the Russia-Ukraine war. Cases were registered against traders for hoarding and hiking the prices of edible oils.
The Vigilance and Enforcement Department of Andhra Pradesh launched raids and surprise checks on traders for unauthorised hoarding and trading of palmolein oil, other edible oils, oilseeds and pulses. This comes after the surge in prices of edible oils since the beginning of the Russia-Ukraine war.
On February 6, as many as 126 wholesale traders, retail traders, supermarkets and manufacturing units were inspected by the vigilance officials.
According to officials, 16 cases were registered for hoarding and 15 others were booked for charging excess prices on edible oils. Besides, oil samples were collected for testing the quality.
The officials also warned traders in the state to prevent illegal hoarding of palmolein and other edible oils, pulses and other commodities that causes a surge in prices and creates artificial scarcity.
‘’We will take appropriate action on licensing conditions apart from criminal action,"" an official said.
As the war between Ukraine and Russia rages on, imports from Ukraine have halted. Andhra Pradesh imports a large quantity of sunflower oil from Ukraine. The black sea region, including Ukraine and Russia, supplies 80 per cent of the world’s crude sunflower and sunflower oils. India alone imports 70 per cent of sunflower oil from Ukraine.
ALSO READ | Ukraine-Russia war in world's 'breadbasket' threatens global food supply
ALSO READ | Oil prices surge above $100 a barrel as war on Ukraine rages"
2,round_02_mediacloud_not_terms_title_proximity,"MediaCloud Indian collections, Jan 1 2021 to Jun 23 2026, Round 1 positive terms plus human-approved NOT terms, title-only and proximity-heavy retrieval; human-reviewed relevance labels with metadata-rescue append.",2021-01-01,2026-06-23,edible_oil_adulteration_round_02_2026-06-23,0,irrelevant,human_reviewed,oil_relevance_review.xlsx:relevant,relevant,1.0,â¹50-lakh Worth Edible Oil Seized | Visakhapatnam News - Times of India,indiatimes.com,2022-03-08,https://timesofindia.indiatimes.com/city/visakhapatnam/50-lakh-worth-edible-oil-seized/articleshow/90063876.cms,timesofindia.indiatimes.com,2022-03-08,71,LLM reading: edible oil is the adulterated product,"47,141 liters of edible oil from a wholesale dealer",relevant,1.0,edible oil is the adulterated product,adulterated_product,edible oil,seized; raid,,title_only,title_oils_enforcement,f6e35945-f234-403c-9476-122a2978d2bd,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\f7bafc8b84b8808d.txt,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\f7bafc8b84b8808d.txt,"VISAKHAPATNAM: Vigilance and enforcement personnel conducted raids on traders and seized 47,141 liters of edible oil from a wholesale dealer at Narsipatnam. 
The value of seized oil is estimated to be around Rs 50 lakh, said additional SP of the vigilance wing G Swaroopa Rani. 
The raid was conducted on Narsihma Murthy wholesale shop premises. Raids were also held in Yelamanchiili, Anakapalle and Poorna Market. 
In all, 16 cases were filed."
2,round_02_mediacloud_not_terms_title_proximity,"MediaCloud Indian collections, Jan 1 2021 to Jun 23 2026, Round 1 positive terms plus human-approved NOT terms, title-only and proximity-heavy retrieval; human-reviewed relevance labels with metadata-rescue append.",2021-01-01,2026-06-23,edible_oil_adulteration_round_02_2026-06-23,0,irrelevant,human_reviewed,oil_relevance_review.xlsx:relevant,relevant,1.0,"Vigilance Continues Raids, Monitors Edible Oil Trade | Vijayawada News - Times of India",indiatimes.com,2022-03-21,https://timesofindia.indiatimes.com/city/vijayawada/vigilance-continues-raids-monitors-edible-oil-trade/articleshow/90341966.cms,timesofindia.indiatimes.com,2022-03-21,166,LLM reading: adulterated oil mentioned explicitly in the article,"We have registered eight criminal cases against traders who are selling adulterated oil,",relevant,1.0,adulterated oil mentioned explicitly in the article,adulterated_product,edible oil,adulterated; spurious,,title_only,title_oils_enforcement,11ed6e4e-5f36-476f-bc86-c88669baf6ff,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\7e24443363db4cbc.txt,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\7e24443363db4cbc.txt,"Vijayawada: Vigilance and enforcement department additional director general Dr. S Bagchi said they are continuously monitoring the sale of edible oil considering the shortage due to the war in Ukraine. He said strict action will be taken to control black market in oil sale.
Addressing a media conference here on Sunday, Bagchi said the Ukraine war has affected the supply of cooking oils.
He said vigilance conducted searches at 1,890 places in the state and registered 59 cases against traders for violation of guidelines. 
âWe have identified that a few traders are selling spurious oil and some traders are tampering with the quantity and quality. A few traders are selling for more than MRP. We are acting firm on such traders and registering cases,â Bagchi said. âWe have registered eight criminal cases against traders who are selling adulterated oil,â he added.
The legal metrology department has filed 889 cases for violation of weights and measures act.
Bagchi added that the focus will be on oil traders."
