article_id,title,source,date,url,food_category,qwen_model_label,qwen_validation_confidence,event_count,claim_statuses,food_items,adulterants,issue_types,locations,regulatory_actions,classifier_label,classifier_score,classifier_model,accepted_triplet_count,schema_gap_count,unresolved_triplet_count,rejected_triplet_count,qwen_completed_at
oil-e72f16ac2686175c,"Unsafe cooking oil, pungent smell found at KFC in Hyderabad",siasat.com,2026-06-21,https://www.siasat.com/unsafe-cooking-oil-pungent-smell-found-at-kfc-in-hyderabad-3493459/,Edible Oil,relevant_event,0.95,1,alleged,cooking oil,,unsafe_food | substandard,"Hyderabad, Telangana, India",improvement notice,irrelevant,0.2169901507946016,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",1,0,1,5,2026-07-29T20:40:09Z
oil-fcd586ca6c0d66ae,Daltonganj police seize spurious edible oil | Ranchi News - The Times of India,indiatimes.com,2026-06-18,https://timesofindia.indiatimes.com/city/ranchi/daltonganj-police-seize-spurious-edible-oil/articleshow/131829588.cms,Edible Oil,relevant_event,0.95,1,suspected,Edible Oils,,counterfeit | substandard,"Daltonganj, Jharkhand, India",case registration | seizure,relevant,0.8344556416851237,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",1,0,5,4,2026-07-29T23:09:37Z
oil-dd1aa09a52bacc6f,"FDA Crackdown On Adulterated & Banned Food In Vasai-Virar: 18 Shops Sealed, ₹14 Lakh Worth Goods Confiscated",freepressjournal.in,2026-06-15,https://www.freepressjournal.in/mumbai/fda-crackdown-on-adulterated-banned-food-in-vasai-virar-18-shops-sealed-14-lakh-worth-goods-confiscated,Edible Oil,relevant_event,0.92,1,suspected,edible oil,,substandard | contamination,"Vasai-Virar, Palghar, Maharashtra, India",seizure | sealing,,,,1,0,4,14,2026-07-29T19:15:44Z
oil-d276b566dce62194,This toxic adulterant in edible oils can damage your nervous system: Here's how to check if your cooking oil is safe,indiatimes.com,2026-06-11,https://timesofindia.indiatimes.com/etimes/wellness/this-toxic-adulterant-in-edible-oils-can-damage-your-nervous-system-heres-how-to-check-if-your-cooking-oil-is-safe/photostory/131653846.cms,Edible Oil,relevant_event,0.95,1,alleged,mustard oil,,adulteration | contamination,"Delhi, India",,irrelevant,0.3559,Weighted ensemble: TF-IDF Linear SVM + BGE-large RBF-SVM + RoBERTa-base,4,0,17,9,2026-07-29T17:38:08Z
oil-c4d815318f8299b0,"Maharashtra FDA Cracks Down On Gutkha And Unsafe Food; 33 Arrested, Goods Worth Over ₹8.56 Crore Seized",freepressjournal.in,2026-06-09,https://www.freepressjournal.in/mumbai/maharashtra-fda-cracks-down-on-gutkha-and-unsafe-food-33-arrested-goods-worth-over-856-crore-seized,Edible Oil,unclear,0.85,1,suspected,edible oil,,substandard | unsafe_food,"Maharashtra, India",seizure,,,,4,0,0,16,2026-07-29T15:28:35Z
oil-055a850c7fce9512,Articles worth over Rs 15.8 lakh seized by FDA in week long raids,indiatimes.com,2026-06-05,https://timesofindia.indiatimes.com/city/nashik/articles-worth-over-rs-15-8-lakh-seized-by-fda-in-week-long-raids/articleshow/131537623.cms,Edible Oil,unclear,0.85,1,suspected,soybean oil,,substandard | unsafe_food,"Chandwad, Nashik, Maharashtra, India",seizure,,,,2,0,1,17,2026-07-28T18:40:10Z
oil-11313f68b0e0b1d7,Nashik: FDA Seizes Suspected And Illegal Food Stock Worth ₹15.89 Lakh In Week-Long Crackdown,freepressjournal.in,2026-06-04,https://www.freepressjournal.in/pune/nashik-fda-seizes-suspected-and-illegal-food-stock-worth-1589-lakh-in-week-long-crackdown,Edible Oil,unclear,0.85,1,suspected,soybean oil,,substandard | unsafe_food,"Chandwad, Nashik, Maharashtra, India",seizure,,,,0,0,7,13,2026-07-28T20:58:48Z
oil-0deaa05c0dac8925,Nashik FDA confiscates food items worth over Rs 1 lakh on suspicion of adulteration,indiatimes.com,2026-05-30,https://timesofindia.indiatimes.com/city/nashik/nashik-fda-confiscates-food-items-worth-over-rs-1-lakh-on-suspicion-of-adulteration/articleshow/131414371.cms,Edible Oil,unclear,0.85,1,suspected,soyabean oil,,substandard | adulteration,"Nashik, Maharashtra, India",seizure,,,,1,0,4,10,2026-07-28T20:42:29Z
oil-af3a540365afc7c2,"Food safety raids at Hyderabad bakery, brewery uncover expired food, pest infestation, hygiene violations",thehindu.com,2026-05-21,https://www.thehindu.com/news/cities/Hyderabad/food-safety-raids-at-hyderabad-bakery-brewery-uncover-expired-food-pest-infestation-hygiene-violations/article71003523.ece,Edible Oil,unclear,0.85,1,suspected,cooking oil,reused cooking oil,adulteration,"Hyderabad, Telangana, India",necessary action,irrelevant,0.3251,Weighted ensemble: TF-IDF Linear SVM + BGE-large RBF-SVM + RoBERTa-base,2,0,5,3,2026-07-29T13:25:45Z
oil-1c3f4e35a1252449,"4,000 litres of suspected adulterated oil seized | Kanpur News - The Times of India",indiatimes.com,2026-05-17,https://timesofindia.indiatimes.com/city/kanpur/4000-litres-of-suspected-adulterated-oil-seized/articleshow/131143712.cms,Edible Oil,relevant_event,0.95,1,suspected,edible oil,,adulteration | substandard,"Kanpur, Kanpur Dehat, Uttar Pradesh, India",seizure | custody,relevant,0.9218017301463708,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",0,0,1,9,2026-07-28T21:58:41Z
