article_id,title,source,date,url,food_category,qwen_model_label,qwen_validation_confidence,event_count,claim_statuses,food_items,adulterants,issue_types,locations,regulatory_actions,classifier_label,classifier_score,classifier_model,accepted_triplet_count,schema_gap_count,unresolved_triplet_count,rejected_triplet_count,qwen_completed_at
oil-c4d815318f8299b0,"Maharashtra FDA Cracks Down On Gutkha And Unsafe Food; 33 Arrested, Goods Worth Over ₹8.56 Crore Seized",freepressjournal.in,2026-06-09,https://www.freepressjournal.in/mumbai/maharashtra-fda-cracks-down-on-gutkha-and-unsafe-food-33-arrested-goods-worth-over-856-crore-seized,Edible Oil,unclear,0.85,1,suspected,edible oil,,substandard | unsafe_food,"Maharashtra, India",seizure,,,,4,0,0,16,2026-07-29T15:28:35Z
oil-055a850c7fce9512,Articles worth over Rs 15.8 lakh seized by FDA in week long raids,indiatimes.com,2026-06-05,https://timesofindia.indiatimes.com/city/nashik/articles-worth-over-rs-15-8-lakh-seized-by-fda-in-week-long-raids/articleshow/131537623.cms,Edible Oil,unclear,0.85,1,suspected,soybean oil,,substandard | unsafe_food,"Chandwad, Nashik, Maharashtra, India",seizure,,,,2,0,1,17,2026-07-28T18:40:10Z
oil-11313f68b0e0b1d7,Nashik: FDA Seizes Suspected And Illegal Food Stock Worth ₹15.89 Lakh In Week-Long Crackdown,freepressjournal.in,2026-06-04,https://www.freepressjournal.in/pune/nashik-fda-seizes-suspected-and-illegal-food-stock-worth-1589-lakh-in-week-long-crackdown,Edible Oil,unclear,0.85,1,suspected,soybean oil,,substandard | unsafe_food,"Chandwad, Nashik, Maharashtra, India",seizure,,,,0,0,7,13,2026-07-28T20:58:48Z
oil-0deaa05c0dac8925,Nashik FDA confiscates food items worth over Rs 1 lakh on suspicion of adulteration,indiatimes.com,2026-05-30,https://timesofindia.indiatimes.com/city/nashik/nashik-fda-confiscates-food-items-worth-over-rs-1-lakh-on-suspicion-of-adulteration/articleshow/131414371.cms,Edible Oil,unclear,0.85,1,suspected,soyabean oil,,substandard | adulteration,"Nashik, Maharashtra, India",seizure,,,,1,0,4,10,2026-07-28T20:42:29Z
oil-af3a540365afc7c2,"Food safety raids at Hyderabad bakery, brewery uncover expired food, pest infestation, hygiene violations",thehindu.com,2026-05-21,https://www.thehindu.com/news/cities/Hyderabad/food-safety-raids-at-hyderabad-bakery-brewery-uncover-expired-food-pest-infestation-hygiene-violations/article71003523.ece,Edible Oil,unclear,0.85,1,suspected,cooking oil,reused cooking oil,adulteration,"Hyderabad, Telangana, India",necessary action,irrelevant,0.3251,Weighted ensemble: TF-IDF Linear SVM + BGE-large RBF-SVM + RoBERTa-base,2,0,5,3,2026-07-29T13:25:45Z
oil-1c3f4e35a1252449,"4,000 litres of suspected adulterated oil seized | Kanpur News - The Times of India",indiatimes.com,2026-05-17,https://timesofindia.indiatimes.com/city/kanpur/4000-litres-of-suspected-adulterated-oil-seized/articleshow/131143712.cms,Edible Oil,relevant_event,0.95,1,suspected,edible oil,,adulteration | substandard,"Kanpur, Kanpur Dehat, Uttar Pradesh, India",seizure | custody,relevant,0.9218017301463708,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",0,0,1,9,2026-07-28T21:58:41Z
oil-c94e003c369b3450,Hyderabad: Food safety inspection flags unsafe oil at KFC outlet in Kondapur,siasat.com,2026-05-05,https://www.siasat.com/hyderabad-food-safety-inspection-flags-unsafe-oil-at-kfc-outlet-in-kondapur-3465689/,Edible Oil,unclear,0.95,1,suspected,cooking oil,,unsafe_food | substandard,"Hyderabad, Telangana, India",Action is being initiated against the outlet,irrelevant,0.4695679377765578,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",1,0,6,8,2026-07-29T16:05:35Z
oil-42c4efcdce45e35d,Food safety administration flags substandard food products,nagalandpost.com,2026-04-29,https://nagalandpost.com/food-safety-administration-flags-substandard-food-products/,Edible Oil,relevant_event,0.95,1,suspected,Mast Health Multi-source Edible Oil,,substandard,"Dimapur, Nagaland, India",public notice | legal proceedings,irrelevant,0.2974,Weighted ensemble: TF-IDF Linear SVM + BGE-large RBF-SVM + RoBERTa-base,2,0,4,13,2026-07-29T02:13:36Z
oil-ce4031737a7654b3,"22 cases booked in Cyberabad food adulteration crackdown, ₹64 lakh worth goods seized",thehindu.com,2026-04-22,https://www.thehindu.com/news/cities/Hyderabad/22-cases-booked-in-cyberabad-food-adulteration-crackdown-64-lakh-worth-goods-seized/article70892711.ece,Edible Oil,relevant_event,0.95,1,alleged,edible oil,,adulteration,"Cyberabad, Telangana, India",case_booked | seizure,relevant,0.9433,Weighted ensemble: TF-IDF Linear SVM + BGE-large RBF-SVM + RoBERTa-base,2,0,0,18,2026-07-29T17:06:13Z
oil-c0e8fd0149fa83c4,Food Adulteration: Barnala admin imposes Rs 2L fine,indiatimes.com,2026-04-12,https://timesofindia.indiatimes.com/city/chandigarh/food-adulteration-barnala-admin-imposes-rs-2l-fine/articleshow/130198058.cms,Edible Oil,unclear,0.85,1,suspected,mustard oil | cooking oil,,substandard,"Barnala, Punjab, India",Rs 2.25 lakh fine,,,,2,0,4,4,2026-07-29T14:59:55Z
oil-48d56f0dc43d0ecc,Expired Mustard Oil Seized in Hazaribag Food Safety Raid | Ranchi News - The Times of India,indiatimes.com,2026-04-07,https://timesofindia.indiatimes.com/city/ranchi/expired-mustard-oil-seized-in-hazaribag-food-safety-raid/articleshow/130094279.cms,Edible Oil,relevant_event,0.95,1,suspected,mustard oil,,substandard | prohibited_additive,"Hazaribag, Jharkhand, India",seizure | legal action,relevant,0.7962744115817022,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",3,0,2,5,2026-07-29T02:45:18Z
oil-97103cc7b062d80c,"Over 5,000 litres of adulterated cooking oil seized in Gachibowli; expired wheat flour repackaged for sale",thehindu.com,2026-03-10,https://www.thehindu.com/news/cities/Hyderabad/over-5000-litres-of-adulterated-cooking-oil-seized-in-gachibowli-expired-wheat-flour-repackaged-for-sale/article70724996.ece,Edible Oil,relevant_event,0.95,1,suspected,cooking oil | soybean oil,expired cooking oil,adulteration | substitution,"Hyderabad, Gachibowli, Telangana, India",seizure | raid,relevant,0.921465990480022,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",3,0,5,2,2026-07-29T10:51:38Z
