article_id,title,source,date,url,file_path,query_family,query_id,rule_candidate,oil_role,final_label,confidence,reason,evidence_phrase,edible_oil_terms,adulteration_action_terms,negative_terms,llm_label,llm_confidence,llm_reason,llm_model,word_count
6d01c43a-debc-4355-b22d-340ef461ce72,Edible oil worth over Rs 8 lakh looted from Purnia godown | Patna News - Times of India,indiatimes.com,2021-11-23,https://timesofindia.indiatimes.com/city/patna/edible-oil-worth-over-rs-8l-looted-from-purnia-godown/articleshow/87855625.cms,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\timesofindia.indiatimes.com\9949d3ed5d053443.txt,title_only,title_oils_enforcement,False,adjacent_or_unclear,irrelevant,0.85,Business/price/import context with no adulteration or enforcement signal.,"onal town. âThe soaring prices of edible oil may have attracted the criminals to loot the essential commodity,â an investigating officer said. Earlier, trucks carrying garlic and onion were hijacked by criminals on NH-02 in Kaimur and Rohtas distric",edible oil,,commodity,,,,,289
fe4dfab2-352e-44bf-b6cd-728b96d246ec,"Sunflower oil shortage boon for palm oil producers, bane for consumers",siasat.com,2022-03-13,https://www.siasat.com/sunflower-oil-shortage-boon-for-palm-oil-producers-bane-for-consumers-2290324/,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\siasat.com\ea069758c4cbaba9.txt,title_only,title_oils_enforcement,False,adjacent_or_unclear,irrelevant,0.85,Business/price/import context with no adulteration or enforcement signal.,sumers New Delhi: Shortage of sunflower oil amid the ongoing Russia-Ukraine war has sent crude palm oil prices through the roof. The geo-political worries in the Black Sea region has a significant bearing on sunflower seed and its oil supply from the,edible oil; cooking oil; soybean oil; palm oil; sunflower oil,,oil prices; edible oil prices; commodity,,,,,619
6f6ba76d-9689-4d3c-808b-f21963237165,Palm oil ban: Edible oil industry asks govt to initiate dialogue with Indonesia - BusinessToday,businesstoday.in,2022-04-25,https://www.businesstoday.in/industry/story/palm-oil-ban-edible-oil-industry-asks-govt-to-initiate-dialogue-with-indonesia-331104-2022-04-25,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\businesstoday.in\1fffa12185f61dff.txt,title_only,title_oils_enforcement,False,adjacent_or_unclear,irrelevant,0.85,Business/price/import context with no adulteration or enforcement signal.,"nt in India annually, had announced to ban exports till further notice apparently to contain edible oil prices in their domestic market. ''We have suggested our government initiate dialogue with Indonesian counterparts at the highest diplomatic level",edible oil; cooking oil; soybean oil; palm oil,,oil prices; oil price; edible oil prices; inflation,,,,,482
6c8debed-27b3-49af-a4a9-bc2952ad83a6,"Centre imposes strict stock limit on edible oil, oilseeds to arrest price rise",indianexpress.com,2022-03-31,https://indianexpress.com/article/cities/pune/centre-imposes-strict-stock-limit-on-edible-oil-oilseeds-to-arrest-price-rise-7845831/,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\indianexpress.com\856d601793e84ffc.txt,title_only,title_oils_enforcement,False,adjacent_or_unclear,irrelevant,0.85,Business/price/import context with no adulteration or enforcement signal.,"olesalers can store up to 500 quintals of edible oil. In another move to control the soaring edible oil prices, the central government has imposed a strict stock limit on edible oil and oilseeds till December 31, 2022. Now, processors can store only",edible oil; mustard oil; soybean oil; palm oil; groundnut oil; sunflower oil,,oil prices; edible oil prices,,,,,396
46173000-0f94-4a22-b9c9-03f5067763b0,Soyoil futures surge as Indonesia bans palm oil exports to increase supply,indiatimes.com,2022-04-22,https://economictimes.indiatimes.com/news/international/us/soyoil-futures-surge-as-indoinesia-bans-palm-oil-exports-to-increase-supply/articleshow/91011661.cms,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\economictimes.indiatimes.com\5f91e240215deece.txt,title_only,title_oils_enforcement,False,adjacent_or_unclear,irrelevant,0.85,Business/price/import context with no adulteration or enforcement signal.,"Soyoil futures surge as Indonesia bans palm oil exports to increase supply As soon as Indonesia announced the ban, there was a more than 3% jump in the U.S soyoil futures to 84.03 cents/pound. At",edible oil; cooking oil; palm oil; sunflower oil,,oil exports; futures,,,,,244
0946a1d4-5e62-4801-bcbd-24a14ddcb364,Indonesia to ban palm oil exports to curb domestic prices - BusinessToday,businesstoday.in,2022-04-22,https://www.businesstoday.in/latest/world/story/indonesia-to-ban-palm-oil-exports-to-curb-domestic-prices-330909-2022-04-22,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\businesstoday.in\58b665903e2d8fa8.txt,title_only,title_oils_enforcement,False,adjacent_or_unclear,irrelevant,0.85,Business/price/import context with no adulteration or enforcement signal.,"since Russian forces entered Ukraine in February. 'SKY'S THE LIMIT' ""Sky would be limit for edible oil prices now. Buyers were banking on palm oil after sunoil supplies fell because of the Ukraine war,"" a Mumbai-based dealer at a global trading firm",edible oil; cooking oil; palm oil; sunflower oil,,oil prices; edible oil prices; oil exports; futures,,,,,516
c04c1693-29f0-4f9e-afb5-8767b3743751,"Indonesia bans palm oil export, world to face the jitters  | World News | Zee News",india.com,2022-04-22,https://zeenews.india.com/world/indonesia-bans-palm-oil-export-world-to-face-the-jitters-2456405.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\zeenews.india.com\49c5ff2fce990917.txt,title_only,title_oils_enforcement,False,adjacent_or_unclear,irrelevant,0.85,Business/price/import context with no adulteration or enforcement signal.,"d half of our palm oil requirements and the crisis in this Southeast Asian country has upped edible oil prices in India by 20-25 per cent already – with the ban expected to push up prices further. Till a few years back, Indonesia alone supplied close",edible oil; cooking oil; soya oil; palm oil; sunflower oil; vegetable oil,,oil prices; edible oil prices; oil exports; inflation,,,,,526
2bc93499-969c-48af-a5b0-b21d0ac07b7e,Indonesia to ban palm oil exports to curb domestic prices,indiatimes.com,2022-04-23,https://economictimes.indiatimes.com/news/international/business/indonesia-to-ban-palm-oil-exports-to-curb-domestic-prices/articleshow/91013410.cms,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\economictimes.indiatimes.com\9f52ca2f8819864d.txt,title_only,title_oils_enforcement,False,adjacent_or_unclear,irrelevant,0.85,Business/price/import context with no adulteration or enforcement signal.,"ailability of cooking oil in the domestic market becomes abundant and affordable,"" he said. Soybean oil prices on the Chicago Board of Trade rose 4.5% to a record high of 83.21 cents per pound. oil exports in January that was later lifted in March. H",edible oil; cooking oil; soybean oil; palm oil; sunflower oil,,oil prices; edible oil prices; oil exports; inflation,,,,,621
8b7d5260-979a-4e8c-81c2-fe971427b3b5,Indonesia bans palm oil exports as global food inflation spikes,indianexpress.com,2022-04-23,https://indianexpress.com/article/world/indonesia-bans-palm-oil-exports-global-food-inflation-spikes-7883388/,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\indianexpress.com\aad6e50770f79aa6.txt,title_only,title_oils_enforcement,False,adjacent_or_unclear,irrelevant,0.85,Business/price/import context with no adulteration or enforcement signal.,"ndia (SEA).”This move is rather unfortunate and totally unexpected,” he said. Alternative vegetable oil prices spiked in response to the measure which will take effect on April 28. Soybean oil, the second most used vegetable oil, rose 4.5% to a recor",edible oil; cooking oil; soybean oil; palm oil; sunflower oil; vegetable oil,,oil prices; edible oil prices; oil exports; inflation,,,,,779
d8128106-484c-4038-98df-cede3abd3b43,Cooking Oil Prices May Increase In India Amid Indonesia's Palm Oil Export Ban,india.com,2022-04-23,https://www.india.com/business/cooking-oil-prices-india-may-increase-indonesia-palm-oil-export-ban-5354193/,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\india.com\bcad7a1a5c1b2b49.txt,title_only,title_oils_enforcement,False,adjacent_or_unclear,irrelevant,0.85,Business/price/import context with no adulteration or enforcement signal.,Cooking Oil Prices May Increase In India Amid Indonesia's Palm Oil Export Ban New Delhi: Cooking oil prices may increase further in India with Indonesia banni,edible oil; cooking oil; palm oil,,oil prices,,,,,257
bea0f119-e7c1-43f9-9501-2561e5633932,Edible oil prices in India to surge as Indonesia to ban palm oil exports | Today News,livemint.com,2022-04-23,https://www.livemint.com/news/india/edible-oil-prices-in-india-to-surge-as-indonesia-to-halt-palm-oil-exports-11650684747240.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\livemint.com\cfa9441e7a5f2415.txt,title_only,title_oils_enforcement,False,adjacent_or_unclear,irrelevant,0.85,Business/price/import context with no adulteration or enforcement signal.,Edible oil prices in India to surge as Indonesia to ban palm oil exports | Today News Edible oil prices in India to surge as Indonesia to ban palm oil export,edible oil; cooking oil; palm oil; sunflower oil; vegetable oil,,oil prices; edible oil prices; oil exports; commodity; inflation,,,,,306
92f9b392-d18e-4297-b9fc-ab19437a496d,Indonesia palm oil export ban to hit packaged goods cos | Mint,livemint.com,2022-04-24,https://www.livemint.com/industry/retail/indonesia-palm-oil-export-ban-to-hit-packaged-goods-cos-11650819008169.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\livemint.com\3d9326333cb707e3.txt,title_only,title_oils_enforcement,False,adjacent_or_unclear,irrelevant,0.85,Business/price/import context with no adulteration or enforcement signal.,"challenges,” said Mayank Shah, senior category head at Parle Products. In the last 12 months, palm oil prices have gone up by 50%; and nearly tripled over the last two years. Meanwhile, sunflower oil supplies and prices have remained volatile amid t",edible oil; palm oil; sunflower oil,,oil prices; edible oil prices; commodity; inflation,,,,,522
df9da125-a8ba-4c55-9493-981b9f694195,India’s edible oil prices may rise due to Indonesia’s export ban on palm oil,siasat.com,2022-04-24,https://www.siasat.com/indias-edible-oil-prices-may-rise-due-to-indonesias-export-ban-on-palm-oil-2314604/,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\siasat.com\4dc855a18990f512.txt,title_only,title_oils_enforcement,False,adjacent_or_unclear,irrelevant,0.85,Business/price/import context with no adulteration or enforcement signal.,India’s edible oil prices may rise due to Indonesia’s export ban on palm oil New Delhi: The already high prices for edible oil since the Ukraine-Russia war broke out,edible oil; soybean oil; palm oil; sunflower oil,,oil prices; edible oil prices; import duty; price hike,,,,,480
6d111634-1a31-447f-ba53-6e9a07081669,Indonesia palm oil export ban dents FMCG stocks; oil companies rally,indiatimes.com,2022-04-25,https://economictimes.indiatimes.com/markets/stocks/news/indonesia-palm-oil-export-ban-dents-fmcg-stocks-oil-companies-rally/articleshow/91064018.cms,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\economictimes.indiatimes.com\e01e90f3c82834a2.txt,title_only,title_oils_enforcement,False,adjacent_or_unclear,irrelevant,0.85,Business/price/import context with no adulteration or enforcement signal.,"ted exports of the edible oil between late January and mid-March to try to control domestic cooking oil prices. Brokerage firm Prabhudas Lilladher believes increase in prices of palm oil will further impact the margins in 1QFY23. ""We don’t rule out f",edible oil; cooking oil; palm oil,,oil prices; oil exports,,,,,417
316bb4c8-f625-412c-a5d4-a15bd89507e0,"From spreads to shampoo, Indonesia's palm oil ban will rattle your everyday life",indiatimes.com,2022-04-25,https://economictimes.indiatimes.com/small-biz/trade/exports/insights/from-spreads-to-shampoo-indonesias-palm-oil-ban-will-rattle-your-everyday-life/articleshow/91066437.cms,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\economictimes.indiatimes.com\8a6422d7c24bda78.txt,title_only,title_oils_enforcement,False,adjacent_or_unclear,irrelevant,0.7,Edible-oil term appears without an adulteration/enforcement signal.,"ban will rattle your everyday life Indonesia counts for more than half of the global supply of the edible oil, which is used in everything from cakes, chocolate, margarine and frying fats to cosmetics, soap, shampoo and cleaning products. It is also",edible oil; palm oil,,,,,,,357
2dc88124-ea36-4c2f-bc79-7b48e597192d,Indonesia bans palm oil exports as global food inflation spikes,indiatimes.com,2022-04-25,https://economictimes.indiatimes.com/small-biz/trade/exports/insights/indonesia-bans-palm-oil-exports-as-global-food-inflation-spikes/articleshow/91067523.cms,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\economictimes.indiatimes.com\03cdfa1c578bc19b.txt,title_only,title_oils_enforcement,False,adjacent_or_unclear,irrelevant,0.85,Business/price/import context with no adulteration or enforcement signal.,"e palm oil, as supplies of all oils are tight. 'SKY'S THE LIMIT' ""Sky would be the limit for edible oil prices now. Buyers were banking on palm oil after sunoil supplies fell because of the Ukraine war,"" a Mumbai-based dealer at a global trading firm",edible oil; cooking oil; palm oil; sunflower oil,,oil prices; edible oil prices; oil exports; inflation,,,,,680
0c21069c-fb7d-41d3-bb60-b6381f36a235,Indonesia's palm oil export ban leaves global buyers with no plan B,indiatimes.com,2022-04-25,https://economictimes.indiatimes.com/small-biz/trade/exports/insights/indonesias-palm-oil-export-ban-leaves-global-buyers-with-no-plan-b/articleshow/91067236.cms,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\economictimes.indiatimes.com\7beeb1bae36aa726.txt,title_only,title_oils_enforcement,False,adjacent_or_unclear,irrelevant,0.85,Business/price/import context with no adulteration or enforcement signal.,"pation of a pullback in prices, said a Mumbai-based dealer with a global trading firm. Instead, all oil prices have rallied further. ""Refiners have been caught on the wrong foot. Now they can't afford to wait for a few weeks. They have to make purcha",edible oil; soybean oil; palm oil; sunflower oil; vegetable oil,,oil prices; oil imports; oil exports,,,,,446
e954a849-517b-42d9-a7e5-dda3b7a58cb9,Edible oil prices may rise 15-20% as Indonesia bans palm oil exports,financialexpress.com,2022-04-25,https://www.financialexpress.com/market/commodities/edible-oil-prices-may-rise-15-20-as-indonesia-bans-palm-oil-exports/2502078/,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\financialexpress.com\9badf584a91f0694.txt,title_only,title_oils_enforcement,False,adjacent_or_unclear,irrelevant,0.85,Business/price/import context with no adulteration or enforcement signal.,Edible oil prices may rise 15-20% as Indonesia bans palm oil exports Domestic edible oil prices are likely to shoot up 10% to 15% in the short term after Ind,edible oil; cooking oil; palm oil; sunflower oil; vegetable oil,,oil prices; edible oil prices; oil exports,,,,,626
cf877415-70be-451c-8d39-c3a938be6a94,Indonesia’s surprise export ban to exclude crude palm oil: Report | Stock Market News,livemint.com,2022-04-25,https://www.livemint.com/market/commodities/indonesias-surprise-ban-of-cooking-oil-exports-will-not-be-strict-as-feared-11650879378335.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\livemint.com\a92946c69625f4bf.txt,title_only,title_oils_enforcement,False,adjacent_or_unclear,irrelevant,0.85,Business/price/import context with no adulteration or enforcement signal.,"2, 03:27 PM IST Palm oil slumped on prospects that top producer Indonesia’s surprise ban of cooking oil exports will not be strict as feared. Indonesia will only halt exports of bulk and packaged RBD palmolein, a higher value product that has been pro",cooking oil; soybean oil; palm oil,,oil exports; stock market; futures; inflation,,,,,300
