article_id,title,source,date,url,file_path,query_family,query_id,rule_candidate,oil_role,final_label,confidence,reason,evidence_phrase,edible_oil_terms,adulteration_action_terms,negative_terms,llm_label,llm_confidence,llm_reason,llm_model,word_count
068350a9-1c36-48c8-8fcd-7e5e55a45d21,FSSAI asks states to enforce decision to ban blending of mustard oil with other cooking oil,indiatimes.com,2021-06-09,https://economictimes.indiatimes.com/news/india/fssai-asks-states-to-enforce-decision-to-ban-blending-of-mustard-oil-with-other-cooking-oil/articleshow/83373116.cms,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\economictimes.indiatimes.com\285defbf6d07d836.txt,title_only,title_oils_enforcement,True,adulterated_product,manual_review,0.74,Edible-oil term appears close to adulteration/enforcement language.,"Authority to carry out an inspection drive. As per the FSSAI regulations, blending of two edible oils is permitted, provided the proportion by weight of any edible vegetable oil used in the",edible oil; cooking oil; mustard oil; vegetable oil,food safety; FSSAI; inspection,,,,,,107
5bd477ba-ebfb-400d-86db-068f50cb697d,FSSAI urges states to enforce ban on blending of mustard oil with other cooking oils - BusinessToday,businesstoday.in,2021-06-09,https://www.businesstoday.in/current/economy-politics/fssai-urges-states-to-enforce-ban-on-blending-of-mustard-oil-with-other-cooking-oils/story/441253.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\businesstoday.in\a3fdf3046e30ac7c.txt,title_only,title_oils_enforcement,True,adulterated_product,manual_review,0.74,Edible-oil term appears close to adulteration/enforcement language.,"Authority to carry out an inspection drive. As per the FSSAI regulations, blending of two edible oils is permitted, provided the proportion by weight of any edible vegetable oil used in the",edible oil; cooking oil; mustard oil; vegetable oil,food safety; FSSAI; inspection,,,,,,215
102029c5-36e5-40b8-b1e0-1dad0e00be43,FSSAI asks states to enforce decision to ban blending of mustard oil with other cooking oil,livemint.com,2021-06-09,https://www.livemint.com/news/india/fssai-asks-states-to-enforce-decision-to-ban-blending-of-mustard-oil-with-other-cooking-oil-11623253163555.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\livemint.com\4186a8aef41f3576.txt,title_only,title_oils_enforcement,True,adulterated_product,manual_review,0.74,Edible-oil term appears close to adulteration/enforcement language.,"Authority to carry out an inspection drive. As per the FSSAI regulations, blending of two edible oils is permitted, provided the proportion by weight of any edible vegetable oil used in the",edible oil; cooking oil; mustard oil; vegetable oil,food safety; FSSAI; inspection,,,,,,260
a3f71942-5625-4159-ac0c-01fd16122e75,FDA warns outlets against repeated use of edible oil | Nagpur News - Times of India,indiatimes.com,2022-05-27,https://timesofindia.indiatimes.com/city/nagpur/fda-warns-outlets-against-repeated-use-of-edible-oil/articleshow/91821386.cms,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\timesofindia.indiatimes.com\92520197fa2cca2f.txt,title_only,title_oils_enforcement,True,adulterated_product,manual_review,0.74,Edible-oil term appears close to adulteration/enforcement language.,FDA warns outlets against repeated use of edible oil | Nagpur News - Times of India Nagpur: The Food and Drugs Administration (FDA) has collec,edible oil,unsafe; food safety; FDA; Food Safety Officer; inspection,,,,,,369
20fcaf5a-642c-47df-aa70-1885af131081,Blended edible oil beneficial: FSSAI | Today News,livemint.com,2023-10-18,https://www.livemint.com/news/india/blended-edible-oil-beneficial-fssai-11697567700962.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\livemint.com\17a522fd14678851.txt,title_only,title_oils_enforcement,True,adulterated_product,manual_review,0.74,Edible-oil term appears close to adulteration/enforcement language.,Blended edible oil beneficial: FSSAI | Today News The Food Safety and Standards Authority of India (FSSAI) h,edible oil; mustard oil; soybean oil; palm oil; sunflower oil; vegetable oil,food safety; FSSAI; banned,,,,,,526
9f0b5a3c-1947-464b-baab-0236bea42e05,FDA to ban Brominated Vegetable Oil in soda and food; here’s how it was impacting your health,indiatimes.com,2023-11-03,https://economictimes.indiatimes.com/news/international/us/fda-to-ban-brominated-vegetable-oil-in-soda-and-food-heres-how-it-was-impacting-your-health/articleshow/104950776.cms,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\economictimes.indiatimes.com\eddfd7037ea0ed92.txt,title_only,title_oils_enforcement,True,adulterated_product,manual_review,0.74,Edible-oil term appears close to adulteration/enforcement language.,FDA to ban Brominated Vegetable Oil in soda and food; here’s how it was impacting your health The FDA's stance is rooted in f,vegetable oil,food safety; FDA; banned,,,,,,544
cfda1425-bfd4-49db-b266-895ec8e6cec9,California leads the way as FDA moves to outlaw brominated vegetable oil in sports drinks - Times of India,indiatimes.com,2023-11-03,https://timesofindia.indiatimes.com/world/us/california-leads-the-way-as-fda-moves-to-outlaw-brominated-vegetable-oil-in-sports-drinks/articleshow/104949719.cms,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\timesofindia.indiatimes.com\9fc720e4422ec01c.txt,title_only,title_oils_enforcement,True,adulterated_product,manual_review,0.74,Edible-oil term appears close to adulteration/enforcement language.,"California leads the way as FDA moves to outlaw brominated vegetable oil in sports drinks - Times of India In a major development, the Food and Drug Administratio",vegetable oil,FDA; banned,,,,,,423
1fcb37d8-94a1-4a26-b473-2a2291a77719,The mustard oil mystery: Why is it banned in the US and Europe?,indiatimes.com,2023-12-18,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/the-mustard-oil-mystery-why-is-it-banned-in-the-us-and-europe/photostory/106086699.cms,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\timesofindia.indiatimes.com\ff079513224fff0c.txt,title_only,title_oils_enforcement,True,adulterated_product,manual_review,0.74,Edible-oil term appears close to adulteration/enforcement language.,"ding the effects on humans, regulatory bodies such as the FDA acted and prohibited edible mustard oil due to its high erucic acid content. The FDA reclassified mustard oil as ""for external us",mustard oil; soybean oil,FDA; banned,,,,,,455
63ef86b6-4de6-4350-814e-753c089d5afe, Fast-food giant replacing cheese with cheaper vegetable oil: Maharashtra FDA | India News - The Times of India,indiatimes.com,2024-02-23,https://timesofindia.indiatimes.com/india/fast-food-giant-replacing-cheese-with-cheaper-vegetable-oil-maharashtra-fda/articleshow/107923964.cms,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\timesofindia.indiatimes.com\0e920a8e6fcec438.txt,title_only,title_oils_enforcement,True,adulterated_product,manual_review,0.74,Edible-oil term appears close to adulteration/enforcement language.,Fast-food giant replacing cheese with cheaper vegetable oil: Maharashtra FDA | India News - The Times of India MUMBAI: Maharashtra FDA has cracked do,vegetable oil,FDA; inspection,,,,,,307
2350aa77-afb4-4751-8908-a0307b2707b7,"'Use only milk-based real cheese,' McDonald's says after Maharashtra FDA accuses fast food giant of using vegetable oil - Times of India",indiatimes.com,2024-02-24,https://timesofindia.indiatimes.com/business/india-business/use-only-milk-based-real-cheese-mcdonalds-says-after-maharashtra-fda-accuses-fast-food-giant-of-using-vegetable-oil/articleshow/107958419.cms,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\timesofindia.indiatimes.com\78aa356bf92e6af0.txt,title_only,title_oils_enforcement,True,adulterated_product,manual_review,0.74,Edible-oil term appears close to adulteration/enforcement language.,"ased real cheese,' McDonald's says after Maharashtra FDA accuses fast food giant of using vegetable oil - Times of India NEW DELHI: Amid allegations of using substitutes instead of real cheese,",vegetable oil,FDA; inspection,,,,,,459
