keyword_or_keyphrase,extraction_method,frequency,score,example_article_number,example_article_title,example_url,category,recommended_for_mediacloud
adulterated,phrase_frequency; rule_based; tfidf; yake,34,0.993095,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,adulteration/fraud,yes
seized,phrase_frequency; rule_based; tfidf; yake,24,0.987512,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,enforcement/evidence,yes
adulteration,phrase_frequency; rule_based; tfidf; yake,15,0.97564,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,adulteration/fraud,yes
ghee,phrase_frequency; rule_based; tfidf; yake,13,0.973327,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,oil/product,yes
adulterated ghee,phrase_frequency; tfidf; yake,10,0.990887,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,incident/action phrase,yes
edible oil,phrase_frequency; rule_based; tfidf; yake,9,0.9912,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,oil/product,yes
raid,phrase_frequency; rule_based; tfidf,9,0.159023,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,enforcement/evidence,yes
coconut oil,phrase_frequency; rule_based; tfidf; yake,8,0.98881,10,Ban on 45 brands of coconut oil | Thiruvananthapuram News - Times of India,https://timesofindia.indiatimes.com/city/thiruvananthapuram/ban-on-45-brands-of-coconut-oil/articleshow/64425038.cms,oil/product,yes
food adulteration,phrase_frequency; tfidf; yake,7,0.990921,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,adulteration/fraud,yes
ghee and oil,yake,7,0.959684,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,oil/product,yes
adulterated food,phrase_frequency; tfidf; yake,6,0.993452,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,adulteration/fraud,yes
substandard,phrase_frequency; rule_based; tfidf,6,0.141801,3,Over 4 lakh litres seized in drive against substandard edible oil in UP,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,adulteration/fraud,yes
adulterated ghee and oil,yake,5,0.986744,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,incident/action phrase,yes
ban,phrase_frequency; rule_based; tfidf,5,0.147295,10,Ban on 45 brands of coconut oil | Thiruvananthapuram News - Times of India,https://timesofindia.indiatimes.com/city/thiruvananthapuram/ban-on-45-brands-of-coconut-oil/articleshow/64425038.cms,enforcement/evidence,yes
fssai,phrase_frequency; rule_based; tfidf,5,0.235652,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,enforcement/evidence,yes
adulterated tea,phrase_frequency; tfidf; yake,4,0.974361,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,adulteration/fraud,yes
