model_name,representation,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,fn,tn
"ens_wavg[tfidf_logreg/full+e5-large_lr/oilemb+roberta-base_lead_512/full|0.31,0.37,0.31]",ensemble:tfidf+emb+transf,0.8645,0.7529,0.8421,0.795,0.9248,0.8498,128,42,24,293
"ens_wavg[e5-large_lr/oilemb+roberta-base_lead_512/full|0.60,0.40]",ensemble:emb+transf,0.8645,0.7654,0.8158,0.7898,0.9212,0.8249,124,38,28,297
"ens_wavg[e5-large_lr/oilemb+e5-large_rbfsvm/cmean|0.36,0.64]",ensemble:oilwin+fullart,0.8686,0.7895,0.7895,0.7895,0.9228,0.8446,120,32,32,303
ens_avg[e5-large_lr/oilemb+roberta-base_lead_512/full],ensemble:emb+transf,0.8604,0.7561,0.8158,0.7848,0.9222,0.8287,124,40,28,295
ens_avg[tfidf_logreg/full+e5-large_lr/oilemb+roberta-base_lead_512/full],ensemble:tfidf+emb+transf,0.8542,0.7341,0.8355,0.7815,0.925,0.8511,127,46,25,289
ens_avg[e5-large_lr/oilemb+e5-large_rbfsvm/cmean],ensemble:oilwin+fullart,0.8604,0.7692,0.7895,0.7792,0.9226,0.8448,120,36,32,299
emb_e5-large_lr,oil_window_embedding,0.8604,0.7692,0.7895,0.7792,0.9065,0.8108,120,36,32,299
"ens_wavg[tfidf_logreg/full+e5-large_lr/oilemb|0.33,0.67]",ensemble:tfidf+emb,0.8542,0.7613,0.7763,0.7687,0.9121,0.8316,118,37,34,298
emb_minilm_rbfsvm,oil_window_embedding,0.8419,0.7143,0.8224,0.7645,0.9116,0.8107,125,50,27,285
emb_e5-large_rbfsvm,full_chunk_mean,0.8439,0.7235,0.8092,0.764,0.9128,0.8349,123,47,29,288
emb_mpnet_rbfsvm,oil_window_embedding,0.8419,0.7168,0.8158,0.7631,0.9241,0.8492,124,49,28,286
ens_avg[tfidf_logreg/full+e5-large_lr/oilemb],ensemble:tfidf+emb,0.848,0.7468,0.7763,0.7613,0.9125,0.8315,118,40,34,295
emb_bge-large_rbfsvm,oil_window_embedding,0.8439,0.7289,0.7961,0.761,0.9201,0.8447,121,45,31,290
emb_bge-large_rbfsvm,full_chunk_mean,0.846,0.7452,0.7697,0.7573,0.9191,0.8469,117,40,35,295
emb_mpnet_rbfsvm,full_chunk_mean,0.8419,0.7273,0.7895,0.7571,0.9152,0.8328,120,45,32,290
emb_e5-large_rbfsvm,full_chunk_max,0.8378,0.7135,0.8026,0.7554,0.909,0.825,122,49,30,286
emb_e5-large_rbfsvm,oil_window_embedding,0.8378,0.7135,0.8026,0.7554,0.9244,0.8542,122,49,30,286
emb_mpnet_rbfsvm,full_chunk_max,0.8337,0.7052,0.8026,0.7508,0.9112,0.8245,122,51,30,284
emb_mpnet_lr,oil_window_embedding,0.8337,0.7076,0.7961,0.7492,0.8861,0.7702,121,50,31,285
"ens_wavg[tfidf_logreg/full+roberta-base_lead_512/full|0.80,0.20]",ensemble:tfidf+transf,0.8193,0.6616,0.8618,0.7486,0.896,0.7935,131,67,21,268
emb_minilm_rbfsvm,full_chunk_max,0.8296,0.6994,0.7961,0.7446,0.904,0.7946,121,52,31,283
emb_minilm_rbfsvm,full_chunk_mean,0.8275,0.6954,0.7961,0.7423,0.9091,0.8083,121,53,31,282
emb_bge-large_rbfsvm,full_chunk_max,0.8378,0.7417,0.7368,0.7393,0.9133,0.8306,112,39,40,296
emb_bge-large_lr,full_chunk_max,0.8316,0.7273,0.7368,0.732,0.8906,0.7837,112,42,40,293
emb_bge-large_lr,oil_window_embedding,0.8296,0.7197,0.7434,0.7314,0.8914,0.7833,113,44,39,291
"ens_wavg[tfidf_logreg/full+longformer_full/full|0.75,0.25]",ensemble:tfidf+longformer,0.8193,0.686,0.7763,0.7284,0.8837,0.783,118,54,34,281
emb_mpnet_lr,full_chunk_max,0.8193,0.6928,0.7566,0.7233,0.8787,0.7682,115,51,37,284
