flags,round,title,url,edible_terms,nonoil_terms,reuse_evidence
A_REUSE,1,FDA adopts zero-tolerance policy for edible oil sold loose and in reused tins | Nagpur New,https://timesofindia.indiatimes.com/city/nagpur/fda-adopts-zero-tolerance-policy-for-edible-oil-sold-loose-and-in-reused-tins/articleshow/94628169.cms,edible oil; loose oil; loose edible oil,,FDA adopts zero-tolerance policy for edible oil sold loose and in reused tins | Nagpur News - Times of India . Nagpur: The Food and drugs administration (FDA) has
A_REUSE,1,"Dark discoloration, high TPC levels found in used cooking oil of famous fast food chain: W",https://timesofindia.indiatimes.com/life-style/food-news/dark-discoloration-high-tpc-levels-found-in-cooking-oil-of-famous-fast-food-chain-what-fssai-says-about-the-health-risks/articleshow/130833701.cms,edible oil; cooking oil,,"-soluble vitamins like A, D, E, and K. Sadly, many market players risk consumer health by reusing oil, which increases the risk of alarming health issues. In an unfortunate incident, recently"
A_REUSE,1,Hyderabad: Food safety inspection flags unsafe oil at KFC outlet in Kondapur,https://www.siasat.com/hyderabad-food-safety-inspection-flags-unsafe-oil-at-kfc-outlet-in-kondapur-3465689/,cooking oil,,"nd to be above the permissible limits. Officials also observed dark discolouration in the oil, indicating repeated use beyond prescribed safety standards. Action is being initiated against the outlet under re"
A_REUSE,2,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,cooking oil; vegetable oil; loose oil,milk; chilli,"od inspectors also raided an oil stockiest in Sinnar and seized 53 cans of loose soyabean oil, another 41 boxes of re-used refined soyabean oil and 28 boxes of re-used palmolein oil, collectively worth Rs1.93 lak"
A_REUSE,2,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - T",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,edible oil; soybean oil; rice bran oil,sweets,"aid. Earlier, at Shyam Traders in Accher Market, 313kg of Hari Darshan refined rice bran oil stored in reused tins and around 80 litres of Gopi brand oil with unclear batch numbers were seized. Sampl"
A_REUSE|C_NONOIL_FOOD_DOMINANT,4,Think before you snack: Namkeens & dairy products top list of unsafe foods in Karnataka,https://timesofindia.indiatimes.com/city/bengaluru/think-before-you-snack-namkeens-dairy-products-top-list-of-unsafe-foods-in-karnataka/articleshow/131179662.cms,cooking oil,milk; paneer; dairy products; butter; spices,"lators, officials said. Reuse of cooking oilThe department also intensified checks on the reuse of cooking oil in roadside eateries. During one such special drive, 99 roadside dhabas were inspected an"
A_REUSE,4,34 people fall ill in suspected food poisoning case after eating pizza in Maharashtra’s Bh,https://www.livemint.com/news/india/34-people-fall-ill-in-suspected-food-poisoning-case-after-eating-pizza-in-maharashtra-s-bhiwandi-11781889067823.html,cooking oil,,"in food preparation. Further examination revealed several other violations, including the repeated use of stale cooking oil, the absence of water quality certification, inadequate pest-control measures and poor sa"
A_REUSE,4,"H-FAST raids unlicensed food godown in Charminar, seizes adulterated food",https://www.thehindu.com/news/national/telangana/h-fast-raids-unlicensed-food-godown-in-charminar-seizes-adulterated-food/article71121824.ece,cooking oil,,"se of prohibited artificial food colours, identified as MSK Lion Green and Raspberry Red, reuse of stale cooking oil, absence of water quality certification and inadequate hygiene and pest-control measures."
A_REUSE,4,"FDA Crackdown On Adulterated & Banned Food In Vasai-Virar: 18 Shops Sealed, ₹14 Lakh Worth",https://www.freepressjournal.in/mumbai/fda-crackdown-on-adulterated-banned-food-in-vasai-virar-18-shops-sealed-14-lakh-worth-goods-confiscated,edible oil,masala,"sdiction. A staggering 4,798 kilograms of edible oil, worth Rs. 9,14,698, was seized. The oil was found stored in old and reused tins that are hazardous to human health. Furthermore, officials suspect the oil does not"
A_REUSE|B_NO_EDIBLE_TERM,4,"Food raids in Telangana: Snacks worth over Rs 60K seized, license suspended",https://www.siasat.com/food-raids-in-telangana-snacks-worth-over-rs-60k-seized-license-suspended-3148653/,,masala; flour,"ted potatoes valued at Rs 26,000 were discovered and discarded immediately. Additionally, reused oil and synthetic food colours which are banned under food safety regulations were being used"
B_NO_OIL,4,50% of food samples collected by Food Safety department officials found to be unsafe,https://www.thehindu.com/news/national/andhra-pradesh/50-of-food-samples-collected-by-food-safety-department-officials-found-to-be-unsafe/article70252244.ece,,curd,
B_NO_EDIBLE_TERM,2,"Fake oil found in Bihar, here's how to spot it.",https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,,,
B_NO_EDIBLE_TERM|C_NONOIL_FOOD_DOMINANT,2,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,,tea; sweets; flour,
B_NO_EDIBLE_TERM|C_NONOIL_FOOD_DOMINANT,0,Cyberabad food adulteration raids Hyderabad Rs 64 lakh seizure 28 arrested,https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,,tea; sweets; flour,
B_NO_EDIBLE_TERM,0,FSSAI seizes 14000 litres of oil Kanpur festive season,https://www.healthandme.com/nutrition/kanpur-food-adulteration-fssai-seizes-14000l-of-oil-1320kg-rotten-dates-and-more-ahead-of-festive-season-article-153707864,,ghee,
B_NO_EDIBLE_TERM|C_NONOIL_FOOD_DOMINANT,0,Tea to ice creams food adulteration on the rise in Hyderabad,https://timesofindia.indiatimes.com/city/hyderabad/tea-to-ice-creams-food-adulteration-on-the-rise-in-hyderabad/articleshow/108746726.cms,,milk; spices; chilli; tea; honey,
B_NO_EDIBLE_TERM,3,"Fake oil, other items worth Rs8.5 lakh seized | Nagpur News - The Times of India",https://timesofindia.indiatimes.com/city/nagpur/fake-oil-other-items-worth-rs8-5-lakh-seized/articleshow/118285152.cms,,,
B_NO_EDIBLE_TERM|C_NONOIL_FOOD_DOMINANT,4,"Ahead of Diwali, crackdown on adulterated food items in city",https://timesofindia.indiatimes.com/city/ranchi/ahead-of-diwali-crackdown-on-adulterated-food-items-in-city/articleshow/124610900.cms,,milk; paneer; spices; sweets,
B_NO_EDIBLE_TERM,4,Nashik FDA confiscates food items worth over Rs 1 lakh on suspicion of adulteration,https://timesofindia.indiatimes.com/city/nashik/nashik-fda-confiscates-food-items-worth-over-rs-1-lakh-on-suspicion-of-adulteration/articleshow/131414371.cms,,paneer,
B_NO_EDIBLE_TERM,4,72 of 255 food samples tested on Char Dham route sub-standard',https://timesofindia.indiatimes.com/city/dehradun/72-of-255-food-samples-tested-on-char-dham-route-sub-standard/articleshow/100236524.cms,,spices; sweets,
B_NO_EDIBLE_TERM|C_NONOIL_FOOD_DOMINANT,4,"Gautam Budh Nagar: 370 kg sweets, 750 ltr oil seized in food safety checks",https://www.hindustantimes.com/cities/noida-news/gautam-budh-nagar-370-kg-sweets-750-ltr-oil-seized-in-food-safety-checks-101730140849789.html,,dairy products; cheese; sweets,
