round,url,title,source,date,query_family,crawl_status,word_count,prob,bucket,article_text
2,https://timesofindia.indiatimes.com/life-style/food-news/145-kgs-of-rasgullas-and-namkeens-destroyed-ahead-of-diwali-in-noida/articleshow/124574873.cms,145 Kgs of Rasgullas and namkeens destroyed ahead of Diwali in Noida: 3 ways to check adulteration at home,indiatimes.com,2025-10-15,proximity,success,741,0.7952382394843697,candidate_relevant,"Diwali is almost here and it’s that time of the year, when lights, crackers and good food defines the festive zeal! But ahead of Diwali the sad reality of commercial sweets and snacks are revealed by the food safety teams that leave people shocked as well as furious. One such drive was recently conducted by the the Food Safety Department in Noida, wherein they found 1,100 kg of adulterated sweets, 145 kgs of Rasgullas and hundreds of snacks and kilograms of contaminated ingredients used to make these festive delights. Here’s more insight on this shocking news. 
What really happened?
According to the report by a leading digital news platform, it was mentioned that several raids were conducted in and around NCR, wherein more than 1,100 kg of adulterated sweets and hundreds of snacks and several kilograms of contaminated ingredients were found and destroyed over the past few days as part of a pre-festival raid to stop adulteration. In this drive heaps of contaminated sweets, oils and other essential ingredients were seized and later buried and destroyed by the officials of the Food Safety Department in Gautam Buddh Nagar.
What shocked the masses?
According to a statement given to the media by the Assistant Commissioner (Food) Sarvesh Mishra, it was found that the sweets made in a manufacturing unit in Sector 115, Noida were found to be made under unhygienic conditions. 
He further added that “the sweets, meant for sale in rural areas, were being made using substandard ingredients. Around 1,100 kg were destroyed on the spot."" He further added that “samples of the sweets were also sent to the lab for testing to confirm the extent of adulteration”.
Are packed Rasgullas also contaminated?
He further stated that, the team of officials at another site in Devla, Greater Noida, disposed of around 145 kg of rasgullas stored in dirty containers and exposed to flies and mosquitoes. Officials also seized 80 kg of white powder, which was claimed to be arrowroot and was sent for further testing. During the same inspection, 285 kg of mustard oil suspected to be adulterated was confiscated from a store in Sector 49, as the shopkeeper failed to produce valid purchase bills.”
More raids to crackdown the cartel
The food safety officials continued across other areas of Noida and Greater Noida and found around 38 kg of namkeen suspected to be unfit for consumption was seized, while samples of peda and other sweets were collected from nearby villages of Lakhnawali and Surajpur, were sent to labs for analysis.
In fact, the drive found and destroyed more adulterated sweets and dairy products in Ladpura and Panwari, including 16 kg of contaminated khoya and 75 kg of rasgullas, respectively. Mishra stated that the department was conducting ""continuous inspections across the district to prevent adulteration and ensure that only clean and safe food reaches the public ahead of Diwali. He further added During these raids, 113 kg of sonpapdi and 50 kg of fungus-infested almonds were destroyed. ""Legal action will be taken under the Food Safety and Standards Act, 2006, once test reports are received.”
Here are 3 simple and effective ways to check adulteration of sweets at home:
Iodine test for starch
Take a small amount of the sweets made from mawa or khoya and dissolve it in hot water. Add a few drops of iodine solution to the mixture. If the solution turns blue or black, it indicates the presence of starch as an adulterant, which is often added to increase bulk artificially. Pure sweets made from milk products usually do not react this way.
Palm test for freshness and purity
Rub a small portion of the sweet on your palm and observe its texture. Pure milk-based sweets like mawa should have a grainy texture and leave a slight greasy trail on the palm due to natural fat content. They also taste slightly sweet naturally. If the sweet feels overly smooth, dry, or has no oily residue, it might be adulterated with vegetable fats or other fillers.
Heat and sugar melting test
Heat a small piece of the sweet in a pan along with a spoonful of sugar. As the sugar melts, observe if water or excessive moisture separates out along the edges of the pan. The presence of water release indicates adulterants such as starch or synthetic materials absorbing moisture, making the sweet unsafe for consumption. Pure sweets generally do not release extra water when heated with sugar."
2,https://www.hindustantimes.com/cities/lucknow-news/prediwali-crackdown-on-food-adulteration-in-lucknow-101760112550766.html,Pre-Diwali crackdown on food adulteration in Lucknow,hindustantimes.com,2025-10-10,proximity,success,323,0.7951789880738735,candidate_relevant,"Pre-Diwali crackdown on food adulteration in Lucknow
Suspicious food products worth ₹6.65 lakh seized, 1,552 kg items valued at ₹2.51 lakh destroyed by Food Safety and Drug Administration
LUCKNOW Ahead of Diwali and Bhai Dooj, the Food Safety and Drug Administration (FSDA) launched a major campaign to curb sale of adulterated and substandard food products, including sweets, snacks, dairy items, edible oils and other festive consumables across multiple establishments.
The department collected 31 samples from various shops, production units and storage facilities. The crackdown resulted in the seizure of 12,894 kg of suspicious food products worth approximately ₹6.65 lakh and the destruction of 1,552 kg of items valued at around ₹2.51 lakh, said VP Singh, deputy commissioner, FSDA.
Around 200 kg of toy sweets worth ₹12,000 were seized near Khurram Nagar, besides 180 kg of sweets, 450 kg of Revri, 300 kg of cardamom seeds and 720 kg of gatta, collectively worth over ₹1 lakh. Around 4 kg of adulterated talcum powder and expired packaged products were also seized.
Two consignments of dry fruits were destroyed by the FSDA at Kumar Cold Storage, Hardoi Road; these included 85 kg of dates worth ₹34,000, around 1,015 kg of dried dates (chuhara) worth ₹2.03 lakh. The department also seized 7,664 one-litre bottles of packaged drinking water worth ₹1.53 lakh from a plant in Kakori for safety violations.
Large volumes of mustard oil (over 3,200 kg) and other edible oils were seized from an outlet in Lal Kuan while around 56 litres of milk was found unsafe during roadside inspection and destroyed on the spot. Around 400 kg of substandard flour and other non-compliant food products were also destroyed, and notices were issued to the vendors concerned, said officials.
Sweets and dairy-based items like milk cake, peda, rasgulla and khoya were sampled from prominent sweet shops for lab testing. Based on the results, legal action will be taken under the Food Safety and Standards Act, 2006."
3,https://indianexpress.com/article/cities/lucknow/fsda-diwali-drive-up-seizes-adulterated-unsafe-food-10310818/,"Fake khoya, paneer, gulab jamun: Unsafe food worth Rs 4 crore seized in special Diwali drive in UP",indianexpress.com,2025-10-16,phrase,success,514,0.7941743601774536,candidate_relevant,"Fake khoya, gulab jamun: 3,000 quintals of adulterated food seized in special Diwali drive in UP
3,369 samples collected, half of the total seized items destroyed, says Food Safety and Drug Administration.
The Food Safety and Drug Administration (FSDA) has seized nearly 3,000 quintals of adulterated food items in Uttar Pradesh during a special drive ahead of Diwali.
Since October 8,when the FSDA started the campaign, 2,448 raids and 5,464 inspections have been conducted across multiple districts of the state, officials said.
So far, 3,369 samples have been collected, they said, adding nearly half of the total seized items have been destroyed after being declared unfit for consumption.
The campaign will end on Friday. The drive also led to the registration of three FIRs in Unnao, Mathura, and Lucknow, according to the officials.
“The perishable food items are destroyed by burying them underground, with the assistance of a JCB machine,” said FSDA Assistant Commissioner Vineet Kumar.
He added that the district authorities across the state have formed dedicated teams to conduct raids based on information received and tip-offs. On certain sites, wherever feasible, ‘Food Safety on Wheels’ – a mobile laboratory or van equipped for on-the-spot food testing – is deployed to check the food products.
According to sources, during raids, the primary staff of FSDA inspect food items based on their smell, appearance, and overall condition. If the food is found to be perishable, it is destroyed on the spot. In cases where the food is not perishable, it is seized for further action. In both scenarios, samples are collected and sent to the laboratory for detailed examination to confirm quality and safety.
Authorities have observed that many adulterated food items are prepared in small-scale or unregulated kitchens and then distributed to other districts and even across state borders. A recent operation in Aligarh had led to the seizure of a large quantity of adulterated khoya, which was reportedly intended for distribution in Delhi and other parts of National Capital Region (NCR), said sources.
Officials stated that the campaign is not restricted to local markets alone, and inspections are also being carried out at toll plazas and along major highways.
The state government has urged citizens to remain vigilant and report any instances of food adulteration, production or sale of counterfeit products, and organised operations involved in adulteration. The department has also issued a helpline number or WhatsApp numbers requesting the public to flag issues relating to food quality and adulteration.
Among the items seized during the campaign, 215 kg of khoya was confiscated in Unnao and 400 kg of adulterated paneer was seized in Mathura.
In Hathras, authorities seized 790 kg of adulterated pickles. Bulandshahr recorded one of the largest hauls with 3,000 kg of adulterated sweets, including rasgullas and gulab jamuns, while Mirzapur had 1,478 kg of adulterated khoya seized, said the officials. In Saharanpur, 1,100 kg of khoya was destroyed, and Hapur witnessed the seizure of 6,000 litres of refined soybean oil. Large quantities of adulterated food items, worth several lakhs, were also destroyed in Agra, Aligarh, Ghaziabad, and Muzaffarnagar."
2,https://thelogicalindian.com/up-food-safety-over-225-kg-of-suspected-chemical-rasogolla-destroyed-in-sambhal-ahead-of-festive-season/,UP Food Safety: Over 225 Kg of Suspected ‘Chemical’ Rasogolla Destroyed in Sambhal Ahead of Festive Season,thelogicalindian.com,2026-02-25,proximity,success,691,0.7928606013236366,candidate_relevant,"In a major food safety drive ahead of Holi and Ramadan, Uttar Pradesh officials raided a sweets unit in Sambhal and destroyed about 225 kg of suspected adulterated rasogolla, as part of a broader statewide campaign against substandard food products.
In Sambhal district, officials from the Uttar Pradesh Food Safety and Drug Administration (UPFSDA) conducted a raid on a local sweets manufacturing unit after receiving information about possible food safety violations.
During the inspection, approximately 225 kg of rasogolla widely popular sweetmeats were found in conditions that raised suspicions of adulteration or contamination. Following protocol, the stock was seized, deemed unfit for human consumption, and destroyed on site.
A senior UPFSDA official, speaking on condition of anonymity, said the department has intensified its vigilance ahead of festival seasons when demand for sweets and dairy products surges. “We cannot risk public health.
Any product that fails to meet safety standards is seized and destroyed,” the official told reporters. Samples from the raid have been sent to accredited laboratories for detailed testing, and further legal action will follow if tests confirm violations under the Food Safety and Standards Act.
This latest action is part of a coordinated drive across Uttar Pradesh targeting adulterated food products from oils and dairy to sweets and snacks aimed at ensuring consumer safety during peak festive demand.
Statewide Crackdown Intensifies Ahead of Festive Season
Sambhal’s action reflects a larger enforcement push by food safety authorities across the state. Several districts have reported significant seizures and destructions of adulterated or expired food items:
- In Hapur, officials seized over 32,000 litres of allegedly adulterated edible oil, with samples sent for testing.
- In Gautam Buddha Nagar, about 200 kg of paneer was destroyed after failing safety checks, and in Saharanpur over 630 kg of suspected illegal paneer was seized.
- Barabanki authorities confiscated approximately 6,000 litres of suspected adulterated mustard oil, along with over 400 litres of expired stock.
- Kanpur drives resulted in the seizure of nearly 14,000 litres of adulterated oil and 1,320 kg of rotten dates, which were allegedly being repackaged with fake expiry dates.
Across multiple districts, food safety teams have collected thousands of samples from oils and dairy items to snacks and spices for laboratory analysis. Authorities emphasise that enforcement will continue through the festive period, with officials appealing to consumers to report suspected adulteration to food safety helplines.
Food safety expert Dr Manisha Verma explained that such drives are crucial during festival seasons when demand spikes and unscrupulous vendors may take shortcuts with substandard or adulterated ingredients. “Routine inspections, surprise raids and rigorous laboratory testing are key to deterring practices that can harm public health,” she said.
Why Food Safety Matters: Consumer Concerns Mount
The crackdown has drawn mixed reactions from consumers and traders. Many residents across Uttar Pradesh have welcomed the intensified actions, saying they feel safer knowing regulators are actively monitoring food quality. “During festivals, families buy large quantities of sweets and dairy products. Ensuring they are safe to eat gives us peace of mind,” said a housewife in Lucknow, requesting anonymity.
Small sweet shop owners, however, have expressed concern about the blanket nature of inspections, arguing that many honest vendors face hardships due to compliance complexities. “We support quality standards, but better training and clear guidelines from authorities would help us operate without fear,” said a sweets trader in Barabanki.
Public health advocates underscore that food adulteration is not just a regulatory lapse but a serious health risk. Substances such as recycled oils, artificial colourants, and expired dairy products can cause food poisoning, allergic reactions, and long-term health complications if consumed unknowingly.
The Logical Indian’s Perspective
Food is central to culture, celebrations, and community life. When that trust is broken through adulteration and unsafe practices, it undermines not only people’s health but their confidence in markets, businesses, and regulatory systems.
The Logical Indian believes that enforcement actions such as these are necessary but must be thoughtfully balanced with education, support for small businesses, and sustained consumer awareness.
Instead of episodic crackdowns, a sustained culture of transparency, compliance and accountability should be nurtured one that protects workers, vendors and purchasers alike."
3,https://www.hindustantimes.com/cities/others/fsda-conducts-extensive-campaign-to-curb-adulteration-ahead-of-rakshabandhan-discards-rs-2-lakh-worth-of-sweets-101693329599774.html,"Ahead of Rakshabandhan, FSDA team destroys contaminated sweets, collects samples to check for adulteration",hindustantimes.com,2023-08-29,phrase,success,399,0.7797248874631226,candidate_relevant,"Ahead of Rakshabandhan, FSDA team destroys contaminated sweets, collects samples to check for adulteration
During the operation, FSDA officers inspected buses at the Charbagh bus station. Ajay Maurya and Mahesh Prasad of FSDA discovered 630 kg of sweets loaded onto two buses.
letters@htlive.com
LUCKNOW In a bid to curb adulteration in the lead-up to the Rakshabandhan festival, the Food Safety and Drug Administration (FSDA) conducted an extensive campaign for collecting samples on Tuesday.
During the operation, FSDA officers inspected buses at the Charbagh bus station. Ajay Maurya and Mahesh Prasad of FSDA discovered 630 kg of sweets loaded onto two buses. These sweets were unclaimed, and after a two-hour wait, the FSDA team, aided by an LMC bulldozer, disposed of the sweets, which included chena, Rasgulla, and barfi, collectively valued at ₹2 lakh, by burying them.
The FSDA team also took immediate action by discarding 1 kg of desiccated coconut powder, 2 kg of Rajma Masala, 1 litre of chocolate syrup, and 2 kg of garam masala on the spot after they were found to have expired at Radha Raman Food Products in Vikrant Khand Gomti Nagar. At Crystam Sweet in Gomti Nagar, 25 kg of peanuts worth ₹8,000 were destroyed on-site by the FSDA team. Similarly, Shiv Barfi Bhandar in Nishatganj saw the disposal of around 5 kg of barfi rolls and 40 kg of gulab jamun due to rancidity and foul odour. The estimated value of the discarded items was around ₹23,000. Additionally, Shagun Sweets in Bakshi Ka Talab (BKT) had 6 kg of Balushahi and 5 kg of Jalebi destroyed on the spot due to the use of synthetic colours. The estimated value of these discarded sweets was approximately ₹3000.
A total of 21 samples were collected from hotels, eateries, and shops located in Alambagh, Nishatganj, Dubagga, Indira Nagar, Gomti Nagar, Aishbagh, Kursi Road, Behta, Bakshi Ka Talab, and other areas. All 21 samples have been sent to a laboratory for analysis. If any form of adulteration is detected, further legal action will be taken under the Food Safety and Standards Act, 2006, upon receipt of the laboratory report.
Additional Commissioner FSDA, SP Singh, said that these samples were gathered as a precautionary measure to prevent the sale of adulterated food items during the Rakshabandhan festival, in accordance with the directives from the Commissioner of Food Safety and Drug Administration and the district magistrate of Lucknow."
2,https://www.freepressjournal.in/pune/jalgaon-fda-cracks-down-on-food-safety-violations-gutkha-worth-185-lakh-seized-in-dhule-substandard-food-products-worth-231-lakh-confiscated,"Jalgaon: FDA Cracks Down on Food Safety Violations; Gutkha Worth ₹18.5 Lakh Seized In Dhule, Substandard Food Products Worth ₹2.31 Lakh Confiscated",freepressjournal.in,2026-06-05,proximity,success,503,0.7770381077227586,candidate_relevant,"Jalgaon: The Food and Drug Administration (FDA) has launched a major crackdown against food business operators violating the Food Safety and Standards Act and those attempting to bring banned gutkha into Maharashtra. In separate operations carried out in Dhule and Jalgaon districts, officials seized banned tobacco products worth ₹18.50 lakh and food items suspected to be adulterated or not meeting prescribed quality standards worth ₹2.31 lakh.
In Dhule, FDA officials, with assistance from the Songir Police Station, intercepted a vehicle (HR 55 AE 6821) that was allegedly transporting banned tobacco products into Maharashtra. The vehicle was found carrying ‘Vimal Pan Masala V-1’ tobacco and other prohibited products. The seized stock is valued at approximately ₹18.50 lakh. A case has been registered at Songir Police Station against the driver, Sureshkumar Guvariya, a resident of Rajasthan. The operation was carried out by Food Safety Officers A.B. Pawar and S.B. Rane and their team.
Meanwhile, in Jalgaon, the FDA conducted multiple inspections following specific inputs about possible violations. On June 3, officials inspected a manufacturing unit at Bambrul Phata, Lohatar, on Bhadgaon Road in Pachora taluka. During the inspection, authorities found that packets of lassi produced at the facility did not carry mandatory details such as the manufacturing date and batch number. Suspecting possible adulteration, officials collected samples for laboratory analysis and seized 750 packets of lassi (200 ml each) worth ₹22,500.
During another inspection at a farsan manufacturing unit in MIDC, Jalgaon, FDA officials observed unhygienic production conditions and the use of repeatedly heated cooking oil. Samples of the oil, along with thick and thin Ratlami Sev, were collected for testing. Authorities seized 14.9 kilograms of Ratlami Sev valued at ₹7,080.
The FDA also took action in the Bodwad Road area of Muktainagar taluka, where refined soybean oil was allegedly being sold loose without food safety-compliant packaging. Samples were collected for analysis, and 358 kilograms of soybean oil worth ₹57,280 were seized. Officials have begun tracing the supply chain and are investigating the source of the product. Further legal action will be initiated against those found responsible.
On June 4, FDA officials inspected a soft drink vendor and distributor operating in MIDC, Jalgaon. During the inspection, a sample of the caffeinated carbonated beverage ‘Black Bagiraa’ was collected due to suspected labelling violations and non-compliance with food safety standards. Authorities seized 7,440 bottles of the drink (200 ml each) valued at ₹1,44,800. Relevant authorities in other jurisdictions have been informed to take action against upstream suppliers and manufacturers, while a notice has also been issued directing the manufacturer to recall the product from the market.
The enforcement drive was carried out by the FDA Jalgaon office under the supervision of Assistant Commissioners (Food) Santosh Kamble and Dinanath Shinde. Food Safety Officers Kishore Baviskar, Kishore Salunke, Yograj Suryavanshi and Amol Jagtap were part of the team that conducted the operations.
FDA officials said the action is part of ongoing efforts to ensure food safety, curb the sale of banned products and protect public health across the region."
3,https://www.hindustantimes.com/cities/noida-news/noida-expands-food-safety-inspection-ahead-of-holi-101772047234259.html,Noida expands food safety inspection ahead of Holi,hindustantimes.com,2026-02-26,phrase,success,550,0.7744995048196904,candidate_relevant,"Noida expands food safety inspection ahead of Holi
Intensified checks have been carried out across Noida and Greater Noida during early morning and late-night hours to curb the circulation of adulterated food items during the festive season
Noida The food safety department teams in Gautam Budh Nagar have widened inspections beyond neighbourhood shops to include restaurants, manufacturing units and even supply vehicles moving along highways days ahead of Holi festival when there is high demand for sweets and dairy products.
Intensified checks have been carried out across Noida and Greater Noida during early morning and late-night hours to curb the circulation of adulterated food items during the festive season, said officials.
“Checks are not limited to retail outlets. We are also monitoring the supply chain to ensure adulterated food does not enter the district during the festive rush,” said Sarvesh Mishra, assistant commissioner (food-II), Gautam Budh Nagar in a statement on Wednesday.
The food safety and drug administration (FSDA) have destroyed over 200 kg of suspected adulterated paneer (cottage cheese) in last two days, and collected multiple samples for laboratory testing, officials said.
An action was taken during an early-morning inspection at a shop in Tilpata village, Greater Noida,on Monday where food safety officers found around 200 kg of paneer, seemed to be adulterated. “The paneer appeared contaminated on initial inspection. As a precautionary measure, the remaining stock was destroyed immediately after sampling,” said Mishra.
Teams also inspected eateries and sweet shops across Noida.
Food safety officers collected a khoya sample from a restaurant in Sector 45, while another team lifted another sample from a sweet shop in Sector 93.
Late-night checks were conducted at the Noida Sector 12 vegetable market, where a team collected a khoya sample from a dairy. In another inspection, food safety officers collected samples of Cham Cham and paneer from a Sector 143 outlet, they said.
To track adulterated food entering the district from outside, teams also stopped and checked a paneer-laden vehicle on the Yamuna Expressway near the 16-km milestone. The consignment, originating from Sabalpur in Aligarh and meant for supply to Delhi and other NCR markets, was inspected and a paneer sample was collected for testing, they added.
Restaurants were also brought under the scanner, with a pizza sauce sample collected from a food chain in Sector 37, Noida.
The drive further expanded into an inter-district operation, with a joint team led by the assistant commissioner (food) from Gorakhpur inspecting a food oil manufacturing unit at the UPSIDC industrial area in Kasna, Greater Noida. Samples of mustard oil and coconut oil were collected from a unit, on Tuesday.
In all, 10 food samples - including paneer, khoya, sweets, pizza sauce and edible oils - have been sent for laboratory analysis. “Further action will be taken strictly as per the laboratory reports,” said Mishra, adding that inspections will continue in the days leading up to Holi.
- Senior Correspondent, Hindustan Times. Reports on district administration, health, civic issues, and environmental concerns in Noida and Greater Noida. Graduated from MJP Rohilkhand University in 2015 and started career in journalism in 2016, at The Times of India, UP West (Bareilly, Rampur, Moradabad and Sambhal) where reported on a range of issues including crime and politics till November 2021. Working with Hindustan Times since June, 2023.Read More"
1,https://garhwalpost.in/campaign-against-adulterated-food-items-to-continue-dr-rajesh-kumar/,Campaign against adulterated food items to continue: Dr Rajesh Kumar,garhwalpost.in,2024-09-07,boolean,success,421,0.7690677726683508,candidate_relevant,"Many food outlets raided in Doon
By Our Staff Reporter
Dehradun, 6 Sep: Teams of the Food Safety and Drug Administration (FDA) today raided the food outlets and establishments located in various parts of Dehradun. The team also checked the food safety standards in a hostel canteen of a renowned educational institution, collected food samples from there and sent them to the lab for testing. These raids were conducted on the instructions of Secretary and Food Safety and Drug Administration Commissioner Dr R Rajesh Kumar.
Kumar claimed that strict action will be taken against the establishments that are ignoring the standards of food safety. The Food Safety and Drug Administration is running a campaign to ensure compliance with the standards of food safety across the state. Under this, samples are being collected and tested from the kitchens of hotels, restaurants, outlets and educational institutions at various places including the Chardham Yatra route.
According to Dr R Rajesh Kumar, it is being ensured that the general public and pilgrims get clean and quality food items. The teams of FDA conducted raids in various areas of Dehradun today. The raids were conducted under the leadership of Deputy Commissioner, Food Safety, Garhwal, RS Rawat and the Designated Officer of Dehradun, Manish Sayana. The team included Senior Food Safety Officer, Municipal Corporation Area, Ramesh Singh and Senior Food Safety Officer Sanjay Tiwari as well as SI Jagdish Raturi. This team raided the kitchen of a famous educational institution located on Mussoorie Road. The girl students here had complained about the food items. Deputy Commissioner, Garhwal Division, issued guidelines for the cleanliness of the kitchen and the quality of the food items. Apart from this, all kitchen employees were instructed to undergo fastag training. On the basis of complaint and suspicion of adulteration, samples were collected from the kitchen of the institution and sent to the food analysis laboratory for examination and notice was issued to the institution for lack of quality and cleanliness of food items.
After this, the team of FDA also raided the famous establishments located in the food court of a mall located on Haridwar Road and checked the cleanliness and food standards in their kitchens. The team instructed these establishments for quality food and cleanliness. When the team checked the Total Polar Compound in the cooking oil used here, it was found to be as per the standards. Designated Officer Dehradun Manish Sayana has said that this campaign will continue continuously for compliance of food safety standards in the entire district."
1,https://timesofindia.indiatimes.com/city/thiruvananthapuram/inspections-conducted-across-kerala-to-ensure-safe-coconut-oil-in-market/articleshow/122771067.cms,Inspections conducted across Kerala to ensure safe coconut oil in market,indiatimes.com,2025-07-18,boolean,success,178,0.7669172742536009,candidate_relevant,"T'puram: The food safety department conducted a three-day statewide inspection from Wednesday to Friday as part of ‘Operation Life' to ensure that safe coconut oil is sold in the market, health minister Veena George said.
Inspections were carried out at 980 establishments, including coconut oil manufacturing units, wholesale and retail outlets. Rectification notices were issued to 25 establishments, and compounding fines were levied on seven establishments.
A total of 161 statutory samples and 277 surveillance samples were collected for further testing, she said.
Considering the rising coconut oil prices, the food safety department intensified inspections to prevent adulterated coconut oil from entering the market, the minister said. George urged the public to remain vigilant against the sale of adulterated coconut oil.
""If there are any doubts about the quality of coconut oil, information should be reported to the food safety complaint toll-free number 1800 425 1125. Manufacturers and traders should ensure the safety of coconut oil in the market. Inspections will continue, and any illegal sales will be addressed under the Food Safety and Standards Act,"" she said."
1,https://garhwalpost.in/crackdown-on-adulteration-food-safety-department-conducts-raids-in-mussoorie/,Crackdown on adulteration: Food Safety Department conducts raids in Mussoorie,garhwalpost.in,2026-03-03,boolean,success,296,0.7665393358725529,candidate_relevant,"By Sunil Sonker 
Mussoorie, 1 Mar: In view of the festival of Holi, the Food Safety and Drug Administration has launched a campaign against adulteration in the Mussoorie area. Following the instructions of Sachin Kurve, Commissioner, Food Safety and Drug Administration, Dehradun, the Food Safety Department team conducted intensive inspections of the city’s major dairy, sweet shops, and grocery stores on Sunday. Consumption of mawa, cheese, oil, spices, and other food items increases during Holi. Therefore, providing safe and quality food to the public is the department’s priority.
During the inspection, special attention was paid to the quality of paneer and mawa being supplied to Mussoorie from outside areas. Samples of paneer and mawa were taken from dairy and sweet shops located at Gandhi Chowk and sent to the laboratory for testing.
Two samples of mustard oil, one of coriander powder, one of milk, and one of namkeen were taken from shops on Kuldi and Camel Back Road. A total of seven samples were collected and sent for testing.
Food Safety Officer, Mussoorie, Kapil Dev said that during major festivals like Holi, the demand for food items increases. At such times, some people resort to adulteration in the pursuit of profit. The department’s team is vigilantly monitoring the market. Upon receiving the test report, if any sample is found to be substandard, strict action will be taken against the seller under the Food Safety Act. He also appealed to the public to avoid purchasing open or suspicious food items and to report any complaints to the department.
The department says that this campaign will continue until Holi, and if necessary, surprise inspections will be conducted in other areas as well, to ensure that the sweetness of the festival is not marred by the bitterness of adulteration."
